model,attribute,n,spearman_rho_combined_judges
ALL,plausibility,42660,-0.1096
ALL,completeness,42660,-0.0461
ALL,source_consistency,42660,-0.1061
ALL,non_hallucination,42660,-0.1323
ALL,informativeness,42660,-0.0094
ALL,conciseness,42660,-0.3123
Qwen2.5-7b-instruct,plausibility,14220,-0.1936
Qwen2.5-7b-instruct,completeness,14220,-0.1059
Qwen2.5-7b-instruct,source_consistency,14220,-0.1896
Qwen2.5-7b-instruct,non_hallucination,14220,-0.1961
Qwen2.5-7b-instruct,informativeness,14220,-0.0712
Qwen2.5-7b-instruct,conciseness,14220,-0.413
Qwen3-32B,plausibility,14220,-0.2
Qwen3-32B,completeness,14220,-0.1598
Qwen3-32B,source_consistency,14220,-0.1904
Qwen3-32B,non_hallucination,14220,-0.1973
Qwen3-32B,informativeness,14220,-0.1256
Qwen3-32B,conciseness,14220,-0.4144
GPT-OSS-120B,plausibility,14220,-0.1573
GPT-OSS-120B,completeness,14220,-0.1253
GPT-OSS-120B,source_consistency,14220,-0.1062
GPT-OSS-120B,non_hallucination,14220,-0.1109
GPT-OSS-120B,informativeness,14220,-0.0955
GPT-OSS-120B,conciseness,14220,-0.2461
