question_id,question,ground_truth,model_count,consensus_answer,avg_confidence
38057,Will Merab Dvalishvili defeat Sean O'Malley at UFC 316?,yes,3,Yes,0.964
40927,Will André Ventura win Portugal's 2026 presidential election?,no,3,No,0.959
38055,Will Joe Pyfer defeat someone at UFC 316?,yes,3,Yes,0.957
38557,Will Andrew Cuomo win the 2025 Democratic primary for New York City mayor?,no,3,No,0.954
38529,Will Andrew Cuomo win the 2025 Democratic primary for New York City mayor?,no,3,No,0.953
35476,"Will Nasa's SphereX space telescope be launched before April 1, 2025?",yes,3,Yes,0.947
39955,Is it the case that Sunderland AFC and Aston Villa will finish their September 21 EPL match with identical scores?,yes,3,Yes,0.946
37238,Will Donald Trump attend UFC 316?,yes,3,Yes,0.946
34507,"Will Kash Patel be confirmed by the Senate as FBI Director by June 30, 2025?",yes,3,Yes,0.946
37087,Will Chris Stapleton win an award at the 60th Academy of Country Music Awards?,yes,3,Yes,0.944
