judge,model,temperature_dir,variant,id,forecast_correct,plausibility,completeness,source_consistency,non_hallucination,informativeness,conciseness,shap_plausibility,shap_completeness,shap_source_consistency,shap_non_hallucination,shap_informativeness,shap_conciseness
gemma-4-31b-it,Qwen2.5-7b-instruct,temperature_000,variant0_neutral_baseline,124,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0881782499017433,0.05893605900616688,0.02103393373109008,0.00038326362072063554,0.02308122242787847,-0.004208302534079868
gemma-4-31b-it,Qwen2.5-7b-instruct,temperature_000,variant1_predicted_event,124,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0881782499017433,0.05893605900616688,0.02103393373109008,0.00038326362072063554,0.02308122242787847,-0.004208302534079868
gemma-4-31b-it,Qwen2.5-7b-instruct,temperature_000,variant2_key_attribute,124,1,0.7,1.0,1.0,1.0,0.8,1.0,-0.11516330510037585,0.08057193836326193,0.02530412432370494,-0.012749972908327344,0.003708010337960007,-0.0019276752609702534
gemma-4-31b-it,Qwen2.5-7b-instruct,temperature_000,variant3_reasoning_type,124,1,1.0,0.8,1.0,1.0,0.8,1.0,0.09727205840746686,-0.06089768296721584,0.010902450039806314,-0.015603672663729652,-0.005704935415668578,-0.00826961584916483
gemma-4-31b-it,Qwen2.5-7b-instruct,temperature_000,variant4_credibility,124,1,1.0,1.0,0.5,0.5,0.8,0.9,0.10566829695089669,0.043298471542714344,-0.04655416032189703,0.060375143149468825,-0.03923866786432589,0.012057703030358857
gemma-4-31b-it,Qwen2.5-7b-instruct,temperature_000,variant5_key_conditions,124,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0881782499017433,0.05893605900616688,0.02103393373109008,0.00038326362072063554,0.02308122242787847,-0.004208302534079868
gemma-4-31b-it,Qwen2.5-7b-instruct,temperature_000,variant6_step_by_step_reasoning,124,1,1.0,1.0,1.0,1.0,0.9,1.0,0.08133778405860267,0.06070680472633866,0.019372916107653123,-0.006828500762125641,-0.04883943353150504,-0.006980405627336801
gemma-4-31b-it,Qwen2.5-7b-instruct,temperature_000,variant7_uncertainty_language,124,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0881782499017433,0.05893605900616688,0.02103393373109008,0.00038326362072063554,0.02308122242787847,-0.004208302534079868
gemma-4-31b-it,Qwen2.5-7b-instruct,temperature_000,variant8_temporal_anchors,124,1,1.0,1.0,1.0,1.0,0.9,1.0,0.08133778405860267,0.06070680472633866,0.019372916107653123,-0.006828500762125641,-0.04883943353150504,-0.006980405627336801
gemma-4-31b-it,Qwen2.5-7b-instruct,temperature_000,variant0_neutral_baseline,229,0,0.6,0.5,0.4,0.4,0.6,1.0,-0.12813569772406808,-0.07704908518847578,-0.027371321492921166,0.0072212005327359444,-0.018680554234885495,-0.007407166766393454
gemma-4-31b-it,Qwen2.5-7b-instruct,temperature_000,variant1_predicted_event,229,0,0.8,0.7,0.8,1.0,0.8,1.0,-0.08316131534713461,-0.06746085929794533,0.012654956503901662,-0.010582845075618304,-0.020915860879985468,-0.0119040223765575
gemma-4-31b-it,Qwen2.5-7b-instruct,temperature_000,variant2_key_attribute,229,0,0.5,0.5,0.3,0.3,0.5,1.0,-0.10092255334917276,-0.06542056567549144,-0.012919714332756523,0.013736860688619103,-0.018043292340751672,-0.013521906071411304
gemma-4-31b-it,Qwen2.5-7b-instruct,temperature_000,variant3_reasoning_type,229,0,0.5,0.5,0.3,0.3,0.5,1.0,-0.10092255334917276,-0.06542056567549144,-0.012919714332756523,0.013736860688619103,-0.018043292340751672,-0.013521906071411304
gemma-4-31b-it,Qwen2.5-7b-instruct,temperature_000,variant4_credibility,229,0,0.5,0.5,0.3,0.3,0.5,1.0,-0.10092255334917276,-0.06542056567549144,-0.012919714332756523,0.013736860688619103,-0.018043292340751672,-0.013521906071411304
