judge,model,temperature_dir,variant,id,forecast_correct,plausibility,completeness,source_consistency,non_hallucination,informativeness,conciseness,shap_plausibility,shap_completeness,shap_source_consistency,shap_non_hallucination,shap_informativeness,shap_conciseness
kimi-k2.5,GPT-OSS-120B,temperature_025,variant0_neutral_baseline,124,1,0.9,0.9,0.9,0.95,0.9,0.9,0.041057751784975095,0.12845422298437176,0.007986621360204477,-0.0006086775049150126,0.031895624370199334,0.023273558957075963
kimi-k2.5,GPT-OSS-120B,temperature_025,variant1_predicted_event,124,1,0.9,0.9,0.9,0.95,0.9,0.9,0.041057751784975095,0.12845422298437176,0.007986621360204477,-0.0006086775049150126,0.031895624370199334,0.023273558957075963
kimi-k2.5,GPT-OSS-120B,temperature_025,variant2_key_attribute,124,1,0.7,0.8,0.4,0.3,0.7,0.9,-0.032997375529312784,0.13255570095369254,0.03109846594585865,0.04694742494644747,-0.006951227021915288,0.03561568655198715
kimi-k2.5,GPT-OSS-120B,temperature_025,variant3_reasoning_type,124,1,0.85,0.85,0.8,0.8,0.85,0.9,-0.01839008618500528,0.08095208403016545,-0.006630086973642561,-0.016264444215905293,0.020743490565702682,0.03443504057677852
kimi-k2.5,GPT-OSS-120B,temperature_025,variant4_credibility,124,1,0.4,0.5,0.2,0.1,0.4,0.85,-0.06738458616127865,-0.06237352858023078,0.015938740284942573,0.03436563340068319,-0.026140020656472213,0.005135576069980112
kimi-k2.5,GPT-OSS-120B,temperature_025,variant5_key_conditions,124,1,0.9,0.9,0.9,0.95,0.9,0.9,0.041057751784975095,0.12845422298437176,0.007986621360204477,-0.0006086775049150126,0.031895624370199334,0.023273558957075963
kimi-k2.5,GPT-OSS-120B,temperature_025,variant6_step_by_step_reasoning,124,1,0.9,0.9,0.9,0.95,0.9,0.9,0.041057751784975095,0.12845422298437176,0.007986621360204477,-0.0006086775049150126,0.031895624370199334,0.023273558957075963
kimi-k2.5,GPT-OSS-120B,temperature_025,variant7_uncertainty_language,124,1,0.9,0.9,0.9,0.95,0.9,0.9,0.041057751784975095,0.12845422298437176,0.007986621360204477,-0.0006086775049150126,0.031895624370199334,0.023273558957075963
kimi-k2.5,GPT-OSS-120B,temperature_025,variant8_temporal_anchors,124,1,0.9,0.85,0.9,0.95,0.85,0.95,0.05497632437666185,0.05802163306283616,0.0017838464447001037,-6.884724806160218e-05,0.026049786961947572,0.03964137713881548
kimi-k2.5,GPT-OSS-120B,temperature_025,variant0_neutral_baseline,229,1,0.5,0.4,0.3,0.2,0.5,0.9,-0.060502660894053234,-0.11322631257624392,0.011212151259698688,0.019867087030447518,-0.0363053675573255,0.016407221237216888
