judge,model,temperature_dir,variant,id,forecast_correct,plausibility,completeness,source_consistency,non_hallucination,informativeness,conciseness,shap_plausibility,shap_completeness,shap_source_consistency,shap_non_hallucination,shap_informativeness,shap_conciseness
combined_mean,GPT-OSS-120B,temperature_025,variant0_neutral_baseline,124,1,0.95,0.95,0.95,0.975,0.95,0.95,0.029204657551480228,0.09200868555570516,0.009404852425026915,-0.010063122659266108,0.04687171839811091,0.024335295820992246
combined_mean,GPT-OSS-120B,temperature_025,variant1_predicted_event,124,1,0.95,0.95,0.95,0.975,0.95,0.95,0.029204657551480228,0.09200868555570516,0.009404852425026915,-0.010063122659266108,0.04687171839811091,0.024335295820992246
combined_mean,GPT-OSS-120B,temperature_025,variant2_key_attribute,124,1,0.35,0.65,0.2,0.15,0.6,0.95,-0.05254185128016662,-0.1072606795424057,0.012275326553524264,0.08618570186055283,-0.05090453918971987,0.008903179549047267
combined_mean,GPT-OSS-120B,temperature_025,variant3_reasoning_type,124,1,0.925,0.925,0.9,0.9,0.925,0.95,0.016138899086787704,0.05299010812358609,0.0008290168401797284,-0.017987160008671208,0.04339866211208511,0.03533403084466932
combined_mean,GPT-OSS-120B,temperature_025,variant4_credibility,124,1,0.2,0.5,0.1,0.05,0.45,0.925,-0.06414947675925704,-0.11313367855009211,0.021440299249349943,0.09475874045832328,-0.04111015435017673,-0.005819009452192685
combined_mean,GPT-OSS-120B,temperature_025,variant5_key_conditions,124,1,0.95,0.95,0.95,0.975,0.95,0.95,0.029204657551480228,0.09200868555570516,0.009404852425026915,-0.010063122659266108,0.04687171839811091,0.024335295820992246
combined_mean,GPT-OSS-120B,temperature_025,variant6_step_by_step_reasoning,124,1,0.95,0.95,0.95,0.975,0.95,0.95,0.029204657551480228,0.09200868555570516,0.009404852425026915,-0.010063122659266108,0.04687171839811091,0.024335295820992246
combined_mean,GPT-OSS-120B,temperature_025,variant7_uncertainty_language,124,1,0.95,0.95,0.95,0.975,0.95,0.95,0.029204657551480228,0.09200868555570516,0.009404852425026915,-0.010063122659266108,0.04687171839811091,0.024335295820992246
combined_mean,GPT-OSS-120B,temperature_025,variant8_temporal_anchors,124,1,0.95,0.925,0.95,0.975,0.925,0.975,0.026521605943731166,0.05124319422100941,0.004344889185801501,-0.010317081412600468,0.045637675504826745,0.045697203540105556
combined_mean,GPT-OSS-120B,temperature_025,variant0_neutral_baseline,229,1,0.5,0.45,0.4,0.1,0.5,0.95,-0.0429485892739324,-0.10437548645421348,-0.003927783280555556,0.09481682566124315,-0.042032373079893166,0.005926957721348318
combined_mean,GPT-OSS-120B,temperature_025,variant3_reasoning_type,229,1,0.5,0.45,0.35,0.1,0.5,0.95,-0.04336678938453969,-0.11039265826228337,0.009715875312234784,0.09534286510194788,-0.048252593043151326,0.00598548180943162
combined_mean,GPT-OSS-120B,temperature_025,variant4_credibility,229,1,0.45,0.45,0.35,0.05,0.45,0.95,-0.046645967468946906,-0.11189600249162965,0.009410099768683447,0.09361551718881383,-0.051138853128108994,0.00821815494056791
combined_mean,GPT-OSS-120B,temperature_025,variant5_key_conditions,229,1,0.5,0.45,0.4,0.1,0.5,0.95,-0.0429485892739324,-0.10437548645421348,-0.003927783280555556,0.09481682566124315,-0.042032373079893166,0.005926957721348318
combined_mean,GPT-OSS-120B,temperature_025,variant6_step_by_step_reasoning,229,1,0.4,0.4,0.3,0.05,0.4,0.9,-0.047647123414526565,-0.0827533914723441,0.019083196500034864,0.10342377967282979,-0.009883946820864027,-0.00873369910276628
combined_mean,GPT-OSS-120B,temperature_025,variant7_uncertainty_language,229,1,0.55,0.5,0.45,0.15,0.55,0.95,-0.045493925872084756,-0.09956782358462316,-0.0064172926944798744,0.08660329200834677,-0.043407918267555926,0.005959538371732973
combined_mean,GPT-OSS-120B,temperature_025,variant8_temporal_anchors,229,1,0.45,0.45,0.35,0.1,0.45,0.95,-0.04652185152740044,-0.11040205351694767,0.010684841038953454,0.0950731559072203,-0.05081446421447758,0.008144896734766836
combined_mean,GPT-OSS-120B,temperature_025,variant1_predicted_event,273,1,0.95,0.85,0.9,0.6,0.85,0.95,0.04429933659051224,-0.038664966307588394,-0.004025255201696878,0.03272797891177409,-0.007134374484633128,0.019982967204246044
combined_mean,GPT-OSS-120B,temperature_025,variant2_key_attribute,273,1,0.95,0.925,0.95,0.95,0.925,0.95,0.027299992335407093,0.052994709502266944,0.0003016590519215311,-0.03001335932675883,0.0466166453103608,0.032613383985100455
combined_mean,GPT-OSS-120B,temperature_025,variant3_reasoning_type,273,1,0.95,0.9,0.95,0.95,0.9,0.95,0.02443860217248276,0.03464977148704056,-0.0033383971070237513,-0.03256590995707673,0.037853073023512186,0.028487673978972818
combined_mean,GPT-OSS-120B,temperature_025,variant4_credibility,273,1,0.95,0.925,0.95,0.95,0.925,0.95,0.027299992335407093,0.052994709502266944,0.0003016590519215311,-0.03001335932675883,0.0466166453103608,0.032613383985100455
combined_mean,GPT-OSS-120B,temperature_025,variant5_key_conditions,273,1,0.95,0.95,0.95,0.95,0.925,0.925,0.03136720318794212,0.09938856649386875,0.004604667768308324,-0.027252409520379987,0.04859661232526378,-0.017419231068924373
combined_mean,GPT-OSS-120B,temperature_025,variant7_uncertainty_language,273,1,0.95,0.9,0.95,0.95,0.9,0.925,0.025497132965991723,0.03303315657759114,-0.005540888056963106,-0.032396231904759466,0.03141124367650998,-0.018470083255962406
combined_mean,GPT-OSS-120B,temperature_025,variant0_neutral_baseline,477,1,0.95,0.925,0.95,0.95,0.925,0.95,0.027299992335407093,0.052994709502266944,0.0003016590519215311,-0.03001335932675883,0.0466166453103608,0.032613383985100455
combined_mean,GPT-OSS-120B,temperature_025,variant1_predicted_event,477,1,0.95,0.925,0.95,0.95,0.925,0.95,0.027299992335407093,0.052994709502266944,0.0003016590519215311,-0.03001335932675883,0.0466166453103608,0.032613383985100455
combined_mean,GPT-OSS-120B,temperature_025,variant2_key_attribute,477,1,0.95,0.925,0.95,0.95,0.9,0.925,0.026415883449003752,0.04631444262947748,-0.003788041152328605,-0.0307933142056932,0.034329242022531625,-0.023764313596645558
combined_mean,GPT-OSS-120B,temperature_025,variant3_reasoning_type,477,1,0.95,0.925,0.95,0.85,0.925,0.925,0.0247358313953134,0.045018947327796516,-0.0030545056953269487,-0.010034949727560756,0.04000518009549591,-0.023996347572451133
combined_mean,GPT-OSS-120B,temperature_025,variant4_credibility,477,1,0.925,0.9,0.95,0.95,0.9,0.95,0.020233760066330347,0.036985861173355214,-0.0034040908611154227,-0.0327321876692834,0.037802699160049,0.030727864455889445
combined_mean,GPT-OSS-120B,temperature_025,variant6_step_by_step_reasoning,477,1,0.975,0.95,0.975,0.975,0.95,0.95,0.0477342993607699,0.09066161771021643,0.014784614692164072,-0.010684590283530268,0.047264161008784965,0.02560192484708372
combined_mean,GPT-OSS-120B,temperature_025,variant7_uncertainty_language,477,1,0.95,0.9,0.95,0.95,0.9,0.925,0.025497132965991723,0.03303315657759114,-0.005540888056963106,-0.032396231904759466,0.03141124367650998,-0.018470083255962406
combined_mean,GPT-OSS-120B,temperature_025,variant8_temporal_anchors,477,1,0.95,0.925,0.95,0.85,0.925,0.925,0.0247358313953134,0.045018947327796516,-0.0030545056953269487,-0.010034949727560756,0.04000518009549591,-0.023996347572451133
combined_mean,GPT-OSS-120B,temperature_025,variant1_predicted_event,512,0,0.9,0.8,0.1,0.0,0.85,0.9,0.030334122170299568,-0.06747386409812149,-0.009264983816454065,0.10925785440297221,-0.024667858555382366,-0.010588399506714337
combined_mean,GPT-OSS-120B,temperature_025,variant2_key_attribute,512,0,0.9,0.8,0.65,0.6,0.8,0.9,0.04306688758652788,-0.021947892126428233,0.02574597614819435,0.0040400763636890494,-0.025931649048436277,-0.01795950697986785
combined_mean,GPT-OSS-120B,temperature_025,variant3_reasoning_type,512,0,0.9,0.8,0.1,0.0,0.85,0.9,0.030334122170299568,-0.06747386409812149,-0.009264983816454065,0.10925785440297221,-0.024667858555382366,-0.010588399506714337
combined_mean,GPT-OSS-120B,temperature_025,variant4_credibility,512,0,0.95,0.85,0.95,1.0,0.8,0.95,0.035242886284548074,-0.028746648228194983,0.0002629004406111452,-0.008703307182192973,-0.055978116248627974,-0.004529511584472726
combined_mean,GPT-OSS-120B,temperature_025,variant5_key_conditions,512,0,0.9,0.8,0.1,0.05,0.85,0.9,0.030389662657859067,-0.058771449987700786,-0.005932348335186657,0.12875026367598558,-0.022713046680338106,-0.008989581258875338
combined_mean,GPT-OSS-120B,temperature_025,variant7_uncertainty_language,512,0,0.9,0.8,0.15,0.1,0.8,0.9,0.034246762066178715,-0.04176002566183701,0.004616139538447809,0.13834893224672568,-0.02004674682234513,0.0013039811090249634
combined_mean,GPT-OSS-120B,temperature_025,variant8_temporal_anchors,512,0,0.95,0.85,0.95,1.0,0.8,0.95,0.035242886284548074,-0.028746648228194983,0.0002629004406111452,-0.008703307182192973,-0.055978116248627974,-0.004529511584472726
