dataset,fold,train_rows,test_rows,train_questions,test_questions,overlap_questions,test_positive_rate
combined_mean__judge_only,1,34122,8530,1264,316,0,0.758147713950762
combined_mean__judge_only,2,34121,8531,1264,316,0,0.7099988278044778
combined_mean__judge_only,3,34121,8531,1264,316,0,0.7605204548118626
combined_mean__judge_only,4,34121,8531,1264,316,0,0.7728285077951003
combined_mean__judge_only,5,34123,8529,1264,316,0,0.7710165318325712
combined_mean__full,1,34122,8530,1264,316,0,0.758147713950762
combined_mean__full,2,34121,8531,1264,316,0,0.7099988278044778
combined_mean__full,3,34121,8531,1264,316,0,0.7605204548118626
combined_mean__full,4,34121,8531,1264,316,0,0.7728285077951003
combined_mean__full,5,34123,8529,1264,316,0,0.7710165318325712
gemma-4-31b-it__judge_only,1,34127,8532,1264,316,0,0.7546882325363338
gemma-4-31b-it__judge_only,2,34127,8532,1264,316,0,0.759493670886076
gemma-4-31b-it__judge_only,3,34127,8532,1264,316,0,0.7328879512423816
gemma-4-31b-it__judge_only,4,34101,8558,1263,317,0,0.7500584248656228
gemma-4-31b-it__judge_only,5,34154,8505,1265,315,0,0.77554379776602
gemma-4-31b-it__full,1,34127,8532,1264,316,0,0.7546882325363338
gemma-4-31b-it__full,2,34127,8532,1264,316,0,0.759493670886076
gemma-4-31b-it__full,3,34127,8532,1264,316,0,0.7328879512423816
gemma-4-31b-it__full,4,34101,8558,1263,317,0,0.7500584248656228
gemma-4-31b-it__full,5,34154,8505,1265,315,0,0.77554379776602
kimi-k2.5__judge_only,1,34123,8530,1264,316,0,0.7689331770222744
kimi-k2.5__judge_only,2,34122,8531,1264,316,0,0.7083577540733794
kimi-k2.5__judge_only,3,34121,8532,1264,316,0,0.7678152836380685
kimi-k2.5__judge_only,4,34122,8531,1264,316,0,0.7632165045129528
kimi-k2.5__judge_only,5,34124,8529,1264,316,0,0.7640989565013483
kimi-k2.5__full,1,34123,8530,1264,316,0,0.7689331770222744
kimi-k2.5__full,2,34122,8531,1264,316,0,0.7083577540733794
kimi-k2.5__full,3,34121,8532,1264,316,0,0.7678152836380685
kimi-k2.5__full,4,34122,8531,1264,316,0,0.7632165045129528
kimi-k2.5__full,5,34124,8529,1264,316,0,0.7640989565013483
