question_id,question,ground_truth,model_count,confidence_stddev,answer_variety
40595,"Will OpenAI file an initial registration statement (S-1) with the SEC to launch an IPO, before December 15, 2025?",no,3,0.3255,1
37249,"Before July 1, 2025, will Reform UK be the highest polling party in the UK by at least 4 points, according to Politico?",yes,3,0.3173,2
39970,Who will be the next non-caretaker prime minister of Nepal? (Balendra Shah),no,3,0.3106,1
10176,Will more than 34 countries have committed to a stringent anti-solar-geoengineering pact before 2026?,no,3,0.3063,1
40667,"Will an official international supervisory board explicitly tasked with overseeing transitional governance of the Gaza Strip be constituted, with at least two publicly named individual members, between 2025-10-15 and 2025-12-31 (UTC)?",yes,3,0.2943,1
37008,"Will a state of emergency be in effect in Samoa on April 30, 2025?",no,3,0.2919,2
34955,"Before March 15, 2025, will Reform UK be the highest polling party in the UK by at least 2 points, according to Politico?",yes,3,0.2885,1
35726,Will a pilot report of UFOs come from a country in Africa in March 2025?,no,3,0.2884,2
37296,"Before July 1, 2025, will Reform UK be the highest polling party in the UK by at least 4 points, according to Politico?",yes,3,0.2881,1
40440,"Will Beyond Meat hit $12 a share before November 1, 2025?",no,3,0.287,1
