judge,model,temperature_dir,variant,id,forecast_correct,plausibility,completeness,source_consistency,non_hallucination,informativeness,conciseness,shap_plausibility,shap_completeness,shap_source_consistency,shap_non_hallucination,shap_informativeness,shap_conciseness
gemma-4-31b-it,GPT-OSS-120B,temperature_025,variant0_neutral_baseline,124,1,1.0,1.0,1.0,1.0,1.0,1.0,0.05747146483336433,0.032410571728802816,0.015061096848727442,-0.00403064194582259,0.020414094430165876,-0.0022870867528620156
gemma-4-31b-it,GPT-OSS-120B,temperature_025,variant0_neutral_baseline,229,1,0.5,0.5,0.5,0.0,0.5,1.0,-0.10848162487645459,-0.07341542913712122,-0.0076183572359517495,0.03269575236091982,-0.025038273354776937,-0.0036064638041615523
gemma-4-31b-it,GPT-OSS-120B,temperature_025,variant5_key_conditions,229,1,0.5,0.5,0.5,0.0,0.5,1.0,-0.10848162487645459,-0.07341542913712122,-0.0076183572359517495,0.03269575236091982,-0.025038273354776937,-0.0036064638041615523
gemma-4-31b-it,GPT-OSS-120B,temperature_025,variant2_key_attribute,273,1,1.0,1.0,1.0,1.0,1.0,1.0,0.05747146483336433,0.032410571728802816,0.015061096848727442,-0.00403064194582259,0.020414094430165876,-0.0022870867528620156
gemma-4-31b-it,GPT-OSS-120B,temperature_025,variant4_credibility,273,1,1.0,1.0,1.0,1.0,1.0,1.0,0.05747146483336433,0.032410571728802816,0.015061096848727442,-0.00403064194582259,0.020414094430165876,-0.0022870867528620156
gemma-4-31b-it,GPT-OSS-120B,temperature_025,variant2_key_attribute,477,1,1.0,1.0,1.0,1.0,1.0,1.0,0.05747146483336433,0.032410571728802816,0.015061096848727442,-0.00403064194582259,0.020414094430165876,-0.0022870867528620156
gemma-4-31b-it,GPT-OSS-120B,temperature_025,variant3_reasoning_type,477,1,1.0,1.0,1.0,1.0,1.0,1.0,0.05747146483336433,0.032410571728802816,0.015061096848727442,-0.00403064194582259,0.020414094430165876,-0.0022870867528620156
gemma-4-31b-it,GPT-OSS-120B,temperature_025,variant6_step_by_step_reasoning,477,1,1.0,1.0,1.0,1.0,1.0,1.0,0.05747146483336433,0.032410571728802816,0.015061096848727442,-0.00403064194582259,0.020414094430165876,-0.0022870867528620156
gemma-4-31b-it,GPT-OSS-120B,temperature_025,variant8_temporal_anchors,477,1,1.0,1.0,1.0,1.0,1.0,1.0,0.05747146483336433,0.032410571728802816,0.015061096848727442,-0.00403064194582259,0.020414094430165876,-0.0022870867528620156
gemma-4-31b-it,GPT-OSS-120B,temperature_025,variant0_neutral_baseline,512,0,1.0,1.0,1.0,1.0,1.0,1.0,0.05747146483336433,0.032410571728802816,0.015061096848727442,-0.00403064194582259,0.020414094430165876,-0.0022870867528620156
gemma-4-31b-it,GPT-OSS-120B,temperature_025,variant6_step_by_step_reasoning,512,0,1.0,1.0,0.0,0.0,1.0,1.0,0.04912825739534552,0.02955278123275063,-0.07814674232089268,-0.016862163611926367,0.004258177059712385,-0.0028125646288911705
gemma-4-31b-it,GPT-OSS-120B,temperature_025,variant2_key_attribute,1079,1,0.0,0.0,0.0,0.0,0.0,1.0,-0.10022339191792501,-0.052597193690515076,-0.011198047527037947,0.01929138372890868,0.053482987410038894,-0.0020668025246738924
gemma-4-31b-it,GPT-OSS-120B,temperature_025,variant5_key_conditions,1079,1,0.0,0.0,0.0,0.0,0.0,1.0,-0.10022339191792501,-0.052597193690515076,-0.011198047527037947,0.01929138372890868,0.053482987410038894,-0.0020668025246738924
gemma-4-31b-it,GPT-OSS-120B,temperature_025,variant0_neutral_baseline,1402,1,1.0,1.0,1.0,1.0,1.0,1.0,0.05747146483336433,0.032410571728802816,0.015061096848727442,-0.00403064194582259,0.020414094430165876,-0.0022870867528620156
gemma-4-31b-it,GPT-OSS-120B,temperature_025,variant4_credibility,1402,1,1.0,1.0,1.0,1.0,1.0,1.0,0.05747146483336433,0.032410571728802816,0.015061096848727442,-0.00403064194582259,0.020414094430165876,-0.0022870867528620156
gemma-4-31b-it,GPT-OSS-120B,temperature_025,variant6_step_by_step_reasoning,1402,1,1.0,1.0,1.0,1.0,1.0,1.0,0.05747146483336433,0.032410571728802816,0.015061096848727442,-0.00403064194582259,0.020414094430165876,-0.0022870867528620156
gemma-4-31b-it,GPT-OSS-120B,temperature_025,variant0_neutral_baseline,1517,1,1.0,1.0,1.0,1.0,1.0,1.0,0.05747146483336433,0.032410571728802816,0.015061096848727442,-0.00403064194582259,0.020414094430165876,-0.0022870867528620156
gemma-4-31b-it,GPT-OSS-120B,temperature_025,variant4_credibility,1517,1,1.0,1.0,1.0,1.0,1.0,1.0,0.05747146483336433,0.032410571728802816,0.015061096848727442,-0.00403064194582259,0.020414094430165876,-0.0022870867528620156
gemma-4-31b-it,GPT-OSS-120B,temperature_025,variant5_key_conditions,1517,1,1.0,1.0,1.0,1.0,1.0,1.0,0.05747146483336433,0.032410571728802816,0.015061096848727442,-0.00403064194582259,0.020414094430165876,-0.0022870867528620156
gemma-4-31b-it,GPT-OSS-120B,temperature_025,variant3_reasoning_type,1529,1,1.0,1.0,1.0,1.0,1.0,1.0,0.05747146483336433,0.032410571728802816,0.015061096848727442,-0.00403064194582259,0.020414094430165876,-0.0022870867528620156
gemma-4-31b-it,GPT-OSS-120B,temperature_025,variant4_credibility,1554,1,1.0,1.0,1.0,1.0,1.0,1.0,0.05747146483336433,0.032410571728802816,0.015061096848727442,-0.00403064194582259,0.020414094430165876,-0.0022870867528620156
gemma-4-31b-it,GPT-OSS-120B,temperature_025,variant7_uncertainty_language,1554,1,0.0,0.0,0.0,0.0,0.0,1.0,-0.10022339191792501,-0.052597193690515076,-0.011198047527037947,0.01929138372890868,0.053482987410038894,-0.0020668025246738924
gemma-4-31b-it,GPT-OSS-120B,temperature_025,variant1_predicted_event,2709,1,1.0,1.0,1.0,1.0,1.0,1.0,0.05747146483336433,0.032410571728802816,0.015061096848727442,-0.00403064194582259,0.020414094430165876,-0.0022870867528620156
gemma-4-31b-it,GPT-OSS-120B,temperature_025,variant3_reasoning_type,2709,1,1.0,1.0,1.0,1.0,1.0,1.0,0.05747146483336433,0.032410571728802816,0.015061096848727442,-0.00403064194582259,0.020414094430165876,-0.0022870867528620156
gemma-4-31b-it,GPT-OSS-120B,temperature_025,variant1_predicted_event,2937,1,1.0,1.0,1.0,0.0,1.0,1.0,0.052086716138205875,0.030944720892647416,0.03171818299374791,0.010075773911339648,0.011387152790492535,-0.0027501532586745535
gemma-4-31b-it,GPT-OSS-120B,temperature_025,variant4_credibility,2937,1,1.0,1.0,1.0,0.0,1.0,1.0,0.052086716138205875,0.030944720892647416,0.03171818299374791,0.010075773911339648,0.011387152790492535,-0.0027501532586745535
gemma-4-31b-it,GPT-OSS-120B,temperature_025,variant5_key_conditions,2937,1,1.0,1.0,1.0,0.0,1.0,1.0,0.052086716138205875,0.030944720892647416,0.03171818299374791,0.010075773911339648,0.011387152790492535,-0.0027501532586745535
gemma-4-31b-it,GPT-OSS-120B,temperature_025,variant6_step_by_step_reasoning,4061,1,1.0,1.0,1.0,0.0,1.0,1.0,0.052086716138205875,0.030944720892647416,0.03171818299374791,0.010075773911339648,0.011387152790492535,-0.0027501532586745535
gemma-4-31b-it,GPT-OSS-120B,temperature_025,variant3_reasoning_type,4882,1,1.0,1.0,1.0,1.0,1.0,1.0,0.05747146483336433,0.032410571728802816,0.015061096848727442,-0.00403064194582259,0.020414094430165876,-0.0022870867528620156
gemma-4-31b-it,GPT-OSS-120B,temperature_025,variant4_credibility,4882,1,1.0,1.0,1.0,0.0,1.0,1.0,0.052086716138205875,0.030944720892647416,0.03171818299374791,0.010075773911339648,0.011387152790492535,-0.0027501532586745535
gemma-4-31b-it,GPT-OSS-120B,temperature_025,variant7_uncertainty_language,4882,1,1.0,1.0,1.0,0.0,1.0,1.0,0.052086716138205875,0.030944720892647416,0.03171818299374791,0.010075773911339648,0.011387152790492535,-0.0027501532586745535
gemma-4-31b-it,GPT-OSS-120B,temperature_025,variant8_temporal_anchors,4882,1,1.0,1.0,1.0,1.0,1.0,1.0,0.05747146483336433,0.032410571728802816,0.015061096848727442,-0.00403064194582259,0.020414094430165876,-0.0022870867528620156
gemma-4-31b-it,GPT-OSS-120B,temperature_025,variant3_reasoning_type,4892,1,1.0,1.0,1.0,1.0,1.0,1.0,0.05747146483336433,0.032410571728802816,0.015061096848727442,-0.00403064194582259,0.020414094430165876,-0.0022870867528620156
gemma-4-31b-it,GPT-OSS-120B,temperature_025,variant5_key_conditions,4892,1,1.0,1.0,1.0,1.0,1.0,1.0,0.05747146483336433,0.032410571728802816,0.015061096848727442,-0.00403064194582259,0.020414094430165876,-0.0022870867528620156
gemma-4-31b-it,GPT-OSS-120B,temperature_025,variant6_step_by_step_reasoning,4892,1,1.0,1.0,1.0,0.0,1.0,1.0,0.052086716138205875,0.030944720892647416,0.03171818299374791,0.010075773911339648,0.011387152790492535,-0.0027501532586745535
gemma-4-31b-it,GPT-OSS-120B,temperature_025,variant3_reasoning_type,4919,0,1.0,1.0,1.0,1.0,1.0,1.0,0.05747146483336433,0.032410571728802816,0.015061096848727442,-0.00403064194582259,0.020414094430165876,-0.0022870867528620156
gemma-4-31b-it,GPT-OSS-120B,temperature_025,variant4_credibility,4919,0,1.0,1.0,1.0,1.0,1.0,1.0,0.05747146483336433,0.032410571728802816,0.015061096848727442,-0.00403064194582259,0.020414094430165876,-0.0022870867528620156
gemma-4-31b-it,GPT-OSS-120B,temperature_025,variant6_step_by_step_reasoning,4919,0,1.0,1.0,1.0,0.0,1.0,1.0,0.052086716138205875,0.030944720892647416,0.03171818299374791,0.010075773911339648,0.011387152790492535,-0.0027501532586745535
gemma-4-31b-it,GPT-OSS-120B,temperature_025,variant8_temporal_anchors,4919,0,1.0,1.0,1.0,0.0,1.0,1.0,0.052086716138205875,0.030944720892647416,0.03171818299374791,0.010075773911339648,0.011387152790492535,-0.0027501532586745535
