judge,model,temperature_dir,variant,id,forecast_correct,plausibility,completeness,source_consistency,non_hallucination,informativeness,conciseness,shap_plausibility,shap_completeness,shap_source_consistency,shap_non_hallucination,shap_informativeness,shap_conciseness
kimi-k2.5,GPT-OSS-120B,temperature_025,variant0_neutral_baseline,124,1,0.9,0.9,0.9,0.95,0.9,0.9,0.041057751784975095,0.12845422298437176,0.007986621360204477,-0.0006086775049150126,0.031895624370199334,0.023273558957075963
kimi-k2.5,GPT-OSS-120B,temperature_025,variant0_neutral_baseline,229,1,0.5,0.4,0.3,0.2,0.5,0.9,-0.060502660894053234,-0.11322631257624392,0.011212151259698688,0.019867087030447518,-0.0363053675573255,0.016407221237216888
kimi-k2.5,GPT-OSS-120B,temperature_025,variant5_key_conditions,229,1,0.5,0.4,0.3,0.2,0.5,0.9,-0.060502660894053234,-0.11322631257624392,0.011212151259698688,0.019867087030447518,-0.0363053675573255,0.016407221237216888
kimi-k2.5,GPT-OSS-120B,temperature_025,variant2_key_attribute,512,0,0.8,0.6,0.3,0.2,0.6,0.8,0.020892625041014804,-0.03144920158946297,0.02155841975027542,0.02387145535514752,-0.024718909127172284,-0.01835531288025719
kimi-k2.5,GPT-OSS-120B,temperature_025,variant4_credibility,512,0,0.9,0.7,0.9,1.0,0.6,0.9,0.0679541515672921,-0.01828650560937253,0.008978351391653525,0.00043838532568828305,-0.03060044894512674,0.004455229718895831
kimi-k2.5,GPT-OSS-120B,temperature_025,variant2_key_attribute,1079,1,0.8,0.8,0.6,0.6,0.8,0.9,-0.015182042393247844,0.07927800703364664,0.03221514098840279,0.02200692276748287,0.030116090078342518,0.03759194117906329
kimi-k2.5,GPT-OSS-120B,temperature_025,variant3_reasoning_type,1079,1,0.8,0.7,0.6,0.5,0.7,0.9,-0.0034521809155022244,0.006721666909430392,0.011945122887232675,-0.004239503605159381,-0.01580342496042455,0.016076987699583333
kimi-k2.5,GPT-OSS-120B,temperature_025,variant6_step_by_step_reasoning,1079,1,0.9,0.8,0.9,1.0,0.8,0.9,0.05320332916009685,0.027871431412723274,0.0022296612627679623,-0.0019357987896627543,0.01286420807744937,0.0183468265850694
kimi-k2.5,GPT-OSS-120B,temperature_025,variant8_temporal_anchors,1079,1,0.9,0.8,0.9,1.0,0.8,0.9,0.05320332916009685,0.027871431412723274,0.0022296612627679623,-0.0019357987896627543,0.01286420807744937,0.0183468265850694
kimi-k2.5,GPT-OSS-120B,temperature_025,variant0_neutral_baseline,1402,1,0.1,0.0,0.0,0.0,0.1,0.8,-0.059676826230273046,-0.07771610348114855,0.008445945634491176,0.020687623146180036,-0.02473852662154002,-0.018517531532931834
kimi-k2.5,GPT-OSS-120B,temperature_025,variant6_step_by_step_reasoning,1402,1,0.1,0.0,0.0,0.0,0.1,0.8,-0.059676826230273046,-0.07771610348114855,0.008445945634491176,0.020687623146180036,-0.02473852662154002,-0.018517531532931834
kimi-k2.5,GPT-OSS-120B,temperature_025,variant2_key_attribute,1517,1,0.8,0.7,0.6,0.6,0.7,0.9,-0.002088691321632571,0.004069017776202497,0.01207563006773393,-0.008089359951784964,-0.016133139359294408,0.016370851319954187
kimi-k2.5,GPT-OSS-120B,temperature_025,variant5_key_conditions,1517,1,0.7,0.7,0.5,0.2,0.6,0.8,-0.023721927314798195,0.06158342427800247,0.0057497522175377494,0.04506069932019373,-0.02057575609545524,-0.014467508445323586
kimi-k2.5,GPT-OSS-120B,temperature_025,variant0_neutral_baseline,273,1,0.9,0.8,0.9,0.9,0.8,0.9,0.053207318395299186,0.028293170644050323,0.0005450747035804235,-0.020312860264297877,0.013212890082952383,0.018126978428863863
kimi-k2.5,GPT-OSS-120B,temperature_025,variant4_credibility,273,1,0.9,0.85,0.9,0.9,0.85,0.9,0.05224854443845501,0.06143084080058661,-0.00010504517303585261,-0.021230729667742625,0.026611058369592752,0.024270044471906352
kimi-k2.5,GPT-OSS-120B,temperature_025,variant6_step_by_step_reasoning,273,1,0.9,0.8,0.9,0.9,0.8,0.85,0.05889629652505468,0.030489707726858682,-0.00069687379554469,-0.020370327449349843,0.010984826554321966,-0.006437632193376694
kimi-k2.5,GPT-OSS-120B,temperature_025,variant0_neutral_baseline,477,1,0.9,0.85,0.9,0.9,0.85,0.9,0.05224854443845501,0.06143084080058661,-0.00010504517303585261,-0.021230729667742625,0.026611058369592752,0.024270044471906352
kimi-k2.5,GPT-OSS-120B,temperature_025,variant4_credibility,477,1,0.85,0.8,0.9,0.9,0.8,0.9,-0.009272913119109931,0.04062448195644243,-0.00421017831804595,-0.02209402472069541,0.011027507565067894,0.0301510019236753
kimi-k2.5,GPT-OSS-120B,temperature_025,variant5_key_conditions,477,1,0.9,0.85,0.9,0.9,0.8,0.85,0.05765391663247769,0.061012411194052735,-0.0022913382650319564,-0.020556530209433384,0.013758886532987402,-0.016030497641829015
kimi-k2.5,GPT-OSS-120B,temperature_025,variant3_reasoning_type,1529,1,0.9,0.85,0.9,1.0,0.85,0.9,0.05701599766187392,0.0609610922389411,0.0015453489948475568,4.803410897776622e-05,0.028500766326941786,0.024614466652720962
kimi-k2.5,GPT-OSS-120B,temperature_025,variant4_credibility,1554,1,0.9,0.85,1.0,1.0,0.85,0.9,0.057463901537962825,0.06988145367938178,0.009997376511788482,-0.0001389296324623426,0.030509950984495392,0.025337633273510282
kimi-k2.5,GPT-OSS-120B,temperature_025,variant7_uncertainty_language,1554,1,0.85,0.85,0.9,0.9,0.85,0.85,-0.025817044261798563,0.04758682691196463,-0.008414968950231607,-0.025975246879801166,0.00777620385589318,-0.014973158825966745
kimi-k2.5,GPT-OSS-120B,temperature_025,variant1_predicted_event,4892,1,0.2,0.2,0.1,0.0,0.2,0.9,-0.0703834427522916,-0.09667141379009456,0.009346716686056605,0.025849203668701956,-0.040072528428875695,0.016488354116011246
kimi-k2.5,GPT-OSS-120B,temperature_025,variant3_reasoning_type,4892,1,0.5,0.3,0.3,0.2,0.5,0.9,-0.060260972390361496,-0.11300492090260959,0.010807374246080323,0.019199820063513853,-0.03622325375025359,0.016641767538488974
kimi-k2.5,GPT-OSS-120B,temperature_025,variant1_predicted_event,4919,0,0.8,0.8,0.8,0.8,0.8,0.9,-0.02148545703521799,0.044677169842190154,-0.01258997980814905,-0.02050895228318708,0.009418986405718852,0.03164005654151918
kimi-k2.5,GPT-OSS-120B,temperature_025,variant4_credibility,4919,0,0.9,0.9,0.9,0.9,0.9,0.9,0.03805645359815414,0.13907270700459487,0.006339378710622018,-0.012339182170259578,0.03249195837868302,0.024063420160646918
kimi-k2.5,GPT-OSS-120B,temperature_025,variant5_key_conditions,4919,0,0.9,0.8,0.9,0.9,0.8,0.9,0.053207318395299186,0.028293170644050323,0.0005450747035804235,-0.020312860264297877,0.013212890082952383,0.018126978428863863
kimi-k2.5,GPT-OSS-120B,temperature_025,variant6_step_by_step_reasoning,4061,1,0.8,0.8,0.4,0.2,0.8,0.9,-0.008409800010938249,0.09367160403637144,0.04619772935991907,0.07104884115074565,0.03319124559218927,0.039718328600191345
kimi-k2.5,GPT-OSS-120B,temperature_025,variant3_reasoning_type,4882,1,0.9,0.8,0.9,0.9,0.8,0.9,0.053207318395299186,0.028293170644050323,0.0005450747035804235,-0.020312860264297877,0.013212890082952383,0.018126978428863863
kimi-k2.5,GPT-OSS-120B,temperature_025,variant4_credibility,4882,1,0.8,0.8,0.7,0.4,0.8,0.9,-0.021642842390237726,0.0844881309187671,0.006882328431461181,0.05040622497814702,0.025562633006215134,0.0421726014354821
kimi-k2.5,GPT-OSS-120B,temperature_025,variant7_uncertainty_language,4882,1,0.8,0.7,0.7,0.4,0.7,0.9,-0.009963830270683113,0.006789786016507035,0.0007614523238403687,0.011697132869580311,-0.0130710617576856,0.01795947393116484
kimi-k2.5,GPT-OSS-120B,temperature_025,variant8_temporal_anchors,4882,1,0.9,0.9,0.9,0.9,0.9,0.9,0.03805645359815414,0.13907270700459487,0.006339378710622018,-0.012339182170259578,0.03249195837868302,0.024063420160646918
kimi-k2.5,GPT-OSS-120B,temperature_025,variant3_reasoning_type,2709,1,0.9,0.8,0.7,0.8,0.8,0.9,0.06256606031664631,0.04388164850984758,0.014502806903173788,-0.01863488954752866,0.015206846115058728,0.01798502222778257
kimi-k2.5,GPT-OSS-120B,temperature_025,variant5_key_conditions,2709,1,0.4,0.6,0.2,0.1,0.4,0.8,-0.06549321509073261,0.0028104204919251288,0.024678090466523476,0.03854393793546705,-0.007066305766354994,-0.01660060398419982
kimi-k2.5,GPT-OSS-120B,temperature_025,variant6_step_by_step_reasoning,2709,1,0.3,0.6,0.1,0.0,0.3,0.8,-0.0642754188544993,0.004348792206459749,0.025230484980339387,0.03908453871348711,-0.00846797325994228,-0.015815406565010112
kimi-k2.5,GPT-OSS-120B,temperature_025,variant3_reasoning_type,2937,1,0.5,0.2,0.1,0.1,0.3,0.9,-0.06479165910500873,-0.10756072826668643,0.011673576501403247,0.02955933554129772,-0.035884271577263364,0.01722311201072312
kimi-k2.5,GPT-OSS-120B,temperature_025,variant4_credibility,2937,1,0.7,0.5,0.3,0.3,0.5,0.8,-0.014712587358905871,-0.06531975411471791,0.019418128265591684,0.011122406457529382,-0.010781000389467336,-0.017383498395027133
kimi-k2.5,GPT-OSS-120B,temperature_025,variant6_step_by_step_reasoning,2937,1,0.5,0.5,0.2,0.2,0.4,0.8,-0.05247108464921925,-0.056970656574954884,0.01627548019361303,0.02207524751448982,-0.01688444997288647,-0.015349270734060219
kimi-k2.5,GPT-OSS-120B,temperature_025,variant8_temporal_anchors,2937,1,0.7,0.5,0.3,0.3,0.5,0.8,-0.014712587358905871,-0.06531975411471791,0.019418128265591684,0.011122406457529382,-0.010781000389467336,-0.017383498395027133
kimi-k2.5,GPT-OSS-120B,temperature_025,variant1_predicted_event,5118,0,0.3,0.3,0.2,0.2,0.4,0.7,-0.07126893639559673,-0.09801809018713332,0.007255730883597199,0.012276856485845223,-0.025161697096519973,-0.018388264746894423
kimi-k2.5,GPT-OSS-120B,temperature_025,variant4_credibility,5118,1,0.8,0.7,0.9,0.9,0.8,0.8,-0.008199290913426385,-0.0029552696172001893,-0.002462480141284246,-0.02451261258506351,-0.005073529407380154,-0.024698032241490055
kimi-k2.5,GPT-OSS-120B,temperature_025,variant5_key_conditions,5655,1,0.8,0.7,0.7,0.7,0.7,0.8,0.0013275692927421786,0.023044173546731796,-0.0035193748273637205,-0.01652039966546533,-0.013154674681990044,-0.017764150937574576
kimi-k2.5,GPT-OSS-120B,temperature_025,variant7_uncertainty_language,5655,1,0.9,0.8,0.9,0.9,0.8,0.9,0.053207318395299186,0.028293170644050323,0.0005450747035804235,-0.020312860264297877,0.013212890082952383,0.018126978428863863
kimi-k2.5,GPT-OSS-120B,temperature_025,variant2_key_attribute,5715,1,0.8,0.7,0.9,0.9,0.7,0.8,0.0013541957649007557,0.01690296722962694,-9.880724681108221e-05,-0.024013357150924126,-0.011029424468216515,-0.018792881735795797
kimi-k2.5,GPT-OSS-120B,temperature_025,variant5_key_conditions,5715,1,0.8,0.8,0.9,0.9,0.8,0.8,-0.039762397521518805,0.033401790427508904,-0.006727718121872979,-0.025147646087253783,-0.002194351873210617,-0.03684562665588118
kimi-k2.5,GPT-OSS-120B,temperature_025,variant7_uncertainty_language,5715,1,0.85,0.75,0.9,0.9,0.8,0.8,-0.0018540373063325557,-0.0010694848830699421,-0.0014373191525906988,-0.024566565464881077,-0.002019817841750087,-0.02461149817035701
kimi-k2.5,GPT-OSS-120B,temperature_025,variant8_temporal_anchors,5715,1,0.9,0.9,0.95,0.9,0.9,0.85,0.04449600149459387,0.1299509016485304,0.0035471294761693,-0.014551788226371402,0.024205507187597862,-0.010411179120021891
kimi-k2.5,GPT-OSS-120B,temperature_025,variant2_key_attribute,5768,0,0.4,0.3,0.2,0.1,0.3,0.7,-0.062105840311422265,-0.09408919598211157,0.008451954932576352,0.025302428205004536,-0.022681577227524712,-0.018467378972073182
kimi-k2.5,GPT-OSS-120B,temperature_025,variant6_step_by_step_reasoning,5768,0,0.9,0.8,0.9,0.9,0.8,0.9,0.053207318395299186,0.028293170644050323,0.0005450747035804235,-0.020312860264297877,0.013212890082952383,0.018126978428863863
kimi-k2.5,GPT-OSS-120B,temperature_025,variant2_key_attribute,6508,0,0.6,0.4,0.5,0.4,0.5,0.8,-0.05104489155686761,-0.09595954608517243,0.004853402442034728,-0.005761983450116808,-0.022238111229618187,-0.018918757499260884
kimi-k2.5,GPT-OSS-120B,temperature_025,variant3_reasoning_type,6508,0,0.9,0.6,0.95,0.95,0.7,1.0,0.07761752240579621,-0.06357516451597182,0.011312189979990126,-0.0008817485392256008,-0.014659839598628379,0.032311294826798426
kimi-k2.5,GPT-OSS-120B,temperature_025,variant4_credibility,6508,0,0.9,0.8,0.9,0.9,0.9,0.9,0.04455124231311376,0.010306820864096651,0.0030800881151555786,-0.02023220610499483,0.013554958683358338,0.02050279291863114
kimi-k2.5,GPT-OSS-120B,temperature_025,variant5_key_conditions,6508,0,0.75,0.5,0.6,0.6,0.7,0.8,-0.023075676639085115,-0.0945224731039415,0.0033202911953726056,-0.018336819664115257,-0.04240194600793841,-0.022800048145153944
kimi-k2.5,GPT-OSS-120B,temperature_025,variant6_step_by_step_reasoning,6508,0,0.9,0.75,0.9,0.9,0.8,0.85,0.0653852996224915,-0.025089414768207897,0.0003882016364625086,-0.022287702874352288,0.0071804635611039955,-0.005599713913195062
kimi-k2.5,GPT-OSS-120B,temperature_025,variant7_uncertainty_language,6508,0,0.85,0.7,0.8,0.8,0.75,0.9,0.01469352701758535,-0.012095851343676134,-0.009375744337314097,-0.01925381082698031,-0.000304104493091677,0.01586247930355989
kimi-k2.5,GPT-OSS-120B,temperature_025,variant8_temporal_anchors,6508,0,0.6,0.4,0.5,0.4,0.6,0.8,-0.04953569649959405,-0.09752013181898724,0.00500308337778593,-0.005520409132343278,-0.03341281745828805,-0.018783434300085104
kimi-k2.5,GPT-OSS-120B,temperature_025,variant2_key_attribute,6648,0,0.95,0.9,1.0,1.0,0.9,0.9,0.07917187956606192,0.12325877962321474,0.0014981553988790014,-0.0032110894066855297,0.0326620743954627,0.021813380019849275
kimi-k2.5,GPT-OSS-120B,temperature_025,variant4_credibility,6648,0,0.95,0.9,1.0,1.0,0.9,0.9,0.07917187956606192,0.12325877962321474,0.0014981553988790014,-0.0032110894066855297,0.0326620743954627,0.021813380019849275
kimi-k2.5,GPT-OSS-120B,temperature_025,variant5_key_conditions,6648,0,0.9,0.85,1.0,1.0,0.85,0.9,0.057463901537962825,0.06988145367938178,0.009997376511788482,-0.0001389296324623426,0.030509950984495392,0.025337633273510282
kimi-k2.5,GPT-OSS-120B,temperature_025,variant6_step_by_step_reasoning,6648,0,0.9,0.85,1.0,1.0,0.85,0.9,0.057463901537962825,0.06988145367938178,0.009997376511788482,-0.0001389296324623426,0.030509950984495392,0.025337633273510282
kimi-k2.5,GPT-OSS-120B,temperature_025,variant2_key_attribute,6948,1,0.9,0.9,0.95,0.95,0.85,0.9,0.05394199157742733,0.13445138167623288,0.009658778744888418,-0.0009415000987887594,0.041804292935106076,0.02310621685999005
kimi-k2.5,GPT-OSS-120B,temperature_025,variant4_credibility,6948,1,0.9,0.9,0.95,0.95,0.9,0.9,0.04380437868243406,0.12571152408974864,0.007367323084264743,-0.0004421910686581847,0.029838456153947243,0.023259486228974
kimi-k2.5,GPT-OSS-120B,temperature_025,variant5_key_conditions,6948,1,0.6,0.7,0.2,0.1,0.6,0.8,-0.02902158667163691,0.11076303752417578,0.06275298292325081,0.055506625374198926,-0.01843341554105943,-0.013307094195854822
kimi-k2.5,GPT-OSS-120B,temperature_025,variant6_step_by_step_reasoning,6948,1,0.9,0.9,0.95,0.95,0.9,0.9,0.04380437868243406,0.12571152408974864,0.007367323084264743,-0.0004421910686581847,0.029838456153947243,0.023259486228974
kimi-k2.5,GPT-OSS-120B,temperature_025,variant3_reasoning_type,7082,1,0.95,0.95,0.95,0.95,0.9,0.9,0.08327892495601853,0.14568963771145887,0.00740796460192678,-0.0007651912591561004,0.03576892016006867,0.023975992394328537
kimi-k2.5,GPT-OSS-120B,temperature_025,variant1_predicted_event,5866,1,0.85,0.8,0.9,0.9,0.75,0.9,-0.001101216865273513,0.05588406472149664,-0.002201548375065492,-0.02083540904017034,0.008458956745412917,0.02840119723560686
kimi-k2.5,GPT-OSS-120B,temperature_025,variant2_key_attribute,5866,1,0.9,0.95,0.95,0.95,0.9,0.85,0.04955742218878197,0.13587301300247687,0.006172117594055143,-0.0005368308287236847,0.027224220377732502,-0.010577953337076122
kimi-k2.5,GPT-OSS-120B,temperature_025,variant8_temporal_anchors,5866,1,0.6,0.6,0.4,0.3,0.6,0.85,-0.05391148150912822,-0.03968397875013639,0.007471013802378568,0.015887886783029583,-0.03391406147908572,0.007209572017985301
kimi-k2.5,GPT-OSS-120B,temperature_025,variant1_predicted_event,6455,1,0.6,0.3,0.2,0.1,0.3,0.9,-0.05686125961883103,-0.11012413230758647,0.014203132411058441,0.03043919178403807,-0.03489310136699908,0.02101997419502247
kimi-k2.5,GPT-OSS-120B,temperature_025,variant2_key_attribute,6455,1,0.6,0.3,0.2,0.1,0.3,0.85,-0.055517597830935884,-0.10765598738468665,0.01582067149448843,0.031124678079092624,-0.03088092530815504,0.014038911835837001
kimi-k2.5,GPT-OSS-120B,temperature_025,variant3_reasoning_type,6455,1,0.6,0.3,0.2,0.1,0.3,0.9,-0.05686125961883103,-0.11012413230758647,0.014203132411058441,0.03043919178403807,-0.03489310136699908,0.02101997419502247
kimi-k2.5,GPT-OSS-120B,temperature_025,variant5_key_conditions,7099,0,0.7,0.7,0.3,0.2,0.7,0.9,-0.01712947496910054,0.055176309273944506,0.05910799152974503,0.05591927916457648,0.0003067671044758141,0.017336759590338254
kimi-k2.5,GPT-OSS-120B,temperature_025,variant7_uncertainty_language,7099,0,0.9,0.8,1.0,1.0,0.8,1.0,0.04230955481002669,0.020768883965185482,0.006217888726012887,-0.003742940887998016,0.014011989246413973,0.01800482783997765
kimi-k2.5,GPT-OSS-120B,temperature_025,variant0_neutral_baseline,7100,1,0.9,0.8,0.9,1.0,0.8,0.9,0.05320332916009685,0.027871431412723274,0.0022296612627679623,-0.0019357987896627543,0.01286420807744937,0.0183468265850694
kimi-k2.5,GPT-OSS-120B,temperature_025,variant1_predicted_event,7100,1,0.9,0.9,1.0,1.0,0.9,0.9,0.042078786524923695,0.12245636657203285,9.507303133042281e-05,-0.0018542401620750821,0.030508282401577175,0.022089204074424072
kimi-k2.5,GPT-OSS-120B,temperature_025,variant7_uncertainty_language,7100,1,0.9,0.8,1.0,1.0,0.8,0.9,0.05056240863988942,0.03574515457796536,0.009500218168178387,-0.0024293942670098275,0.01438535369086022,0.018704803476277215
kimi-k2.5,GPT-OSS-120B,temperature_025,variant1_predicted_event,7101,0,0.5,0.4,0.4,0.6,0.5,0.8,-0.058762095534068456,-0.09596647130024875,0.005327940557292778,-0.023671978994986926,-0.02300377638641648,-0.016974462766894193
kimi-k2.5,GPT-OSS-120B,temperature_025,variant5_key_conditions,7101,1,0.8,0.8,0.9,0.9,0.8,0.8,-0.039762397521518805,0.033401790427508904,-0.006727718121872979,-0.025147646087253783,-0.002194351873210617,-0.03684562665588118
kimi-k2.5,GPT-OSS-120B,temperature_025,variant7_uncertainty_language,7101,0,0.8,0.8,0.9,0.9,0.8,0.9,-0.029304245615863006,0.03635084041975505,-0.007074814135915464,-0.02381623145784344,0.00809518884309255,0.031538210569749134
kimi-k2.5,GPT-OSS-120B,temperature_025,variant8_temporal_anchors,7101,1,0.8,0.8,0.9,0.9,0.8,0.9,-0.029304245615863006,0.03635084041975505,-0.007074814135915464,-0.02381623145784344,0.00809518884309255,0.031538210569749134
kimi-k2.5,GPT-OSS-120B,temperature_025,variant6_step_by_step_reasoning,7335,1,0.95,0.95,0.95,0.95,0.9,0.9,0.08327892495601853,0.14568963771145887,0.00740796460192678,-0.0007651912591561004,0.03576892016006867,0.023975992394328537
kimi-k2.5,GPT-OSS-120B,temperature_025,variant4_credibility,7792,1,1.0,1.0,1.0,1.0,1.0,1.0,0.08907507258266036,0.13986100146406732,0.006460682367153709,-0.0020931530962465853,0.04404207138988785,0.02432928080853416
kimi-k2.5,GPT-OSS-120B,temperature_025,variant5_key_conditions,7792,1,1.0,1.0,1.0,1.0,1.0,1.0,0.08907507258266036,0.13986100146406732,0.006460682367153709,-0.0020931530962465853,0.04404207138988785,0.02432928080853416
kimi-k2.5,GPT-OSS-120B,temperature_025,variant2_key_attribute,7831,1,0.7,0.6,0.2,0.2,0.5,0.9,-0.020204187968096365,-0.024030792770067352,0.03765841813959909,0.035992013897726036,-0.020786531301244526,0.01767116980491342
