model,judge,attribute,n,spearman_rho
Qwen2.5-7b-instruct,gemma,plausibility,14220,-0.0094
Qwen2.5-7b-instruct,kimi,plausibility,14220,-0.1841
Qwen2.5-7b-instruct,combined,plausibility,14220,-0.1859
Qwen2.5-7b-instruct,gemma,completeness,14220,-0.003
Qwen2.5-7b-instruct,kimi,completeness,14220,-0.1039
Qwen2.5-7b-instruct,combined,completeness,14220,-0.1031
Qwen2.5-7b-instruct,gemma,source_consistency,14220,0.0196
Qwen2.5-7b-instruct,kimi,source_consistency,14220,-0.1743
Qwen2.5-7b-instruct,combined,source_consistency,14220,-0.1822
Qwen2.5-7b-instruct,gemma,non_hallucination,14220,0.0363
Qwen2.5-7b-instruct,kimi,non_hallucination,14220,-0.1856
Qwen2.5-7b-instruct,combined,non_hallucination,14220,-0.1864
Qwen2.5-7b-instruct,gemma,informativeness,14220,-0.0046
Qwen2.5-7b-instruct,kimi,informativeness,14220,-0.0625
Qwen2.5-7b-instruct,combined,informativeness,14220,-0.0684
Qwen2.5-7b-instruct,gemma,conciseness,14220,0.1564
Qwen2.5-7b-instruct,kimi,conciseness,14220,-0.3288
Qwen2.5-7b-instruct,combined,conciseness,14220,-0.355
Qwen3-32B,gemma,plausibility,14220,0.1411
Qwen3-32B,kimi,plausibility,14220,-0.2068
Qwen3-32B,combined,plausibility,14220,-0.1923
Qwen3-32B,gemma,completeness,14220,0.1327
Qwen3-32B,kimi,completeness,14220,-0.1647
Qwen3-32B,combined,completeness,14220,-0.1561
Qwen3-32B,gemma,source_consistency,14220,0.1245
Qwen3-32B,kimi,source_consistency,14220,-0.1843
Qwen3-32B,combined,source_consistency,14220,-0.1828
Qwen3-32B,gemma,non_hallucination,14219,0.0731
Qwen3-32B,kimi,non_hallucination,14220,-0.1859
Qwen3-32B,combined,non_hallucination,14220,-0.1863
Qwen3-32B,gemma,informativeness,14220,0.0994
Qwen3-32B,kimi,informativeness,14220,-0.1236
Qwen3-32B,combined,informativeness,14220,-0.1218
Qwen3-32B,gemma,conciseness,14220,0.2462
Qwen3-32B,kimi,conciseness,14220,-0.3514
Qwen3-32B,combined,conciseness,14220,-0.3728
GPT-OSS-120B,gemma,plausibility,14220,0.2962
GPT-OSS-120B,kimi,plausibility,14219,-0.1339
GPT-OSS-120B,combined,plausibility,14220,-0.1424
GPT-OSS-120B,gemma,completeness,14220,0.2846
GPT-OSS-120B,kimi,completeness,14219,-0.1098
GPT-OSS-120B,combined,completeness,14220,-0.1177
GPT-OSS-120B,gemma,source_consistency,14220,0.2402
GPT-OSS-120B,kimi,source_consistency,14219,-0.0792
GPT-OSS-120B,combined,source_consistency,14220,-0.0909
GPT-OSS-120B,gemma,non_hallucination,14220,0.1613
GPT-OSS-120B,kimi,non_hallucination,14218,-0.0792
GPT-OSS-120B,combined,non_hallucination,14220,-0.0963
GPT-OSS-120B,gemma,informativeness,14220,0.2716
GPT-OSS-120B,kimi,informativeness,14213,-0.0757
GPT-OSS-120B,combined,informativeness,14220,-0.0885
GPT-OSS-120B,gemma,conciseness,14220,0.4306
GPT-OSS-120B,kimi,conciseness,14219,-0.2014
GPT-OSS-120B,combined,conciseness,14220,-0.2058
