judge,model,temperature_dir,variant,id,forecast_correct,plausibility,completeness,source_consistency,non_hallucination,informativeness,conciseness,shap_plausibility,shap_completeness,shap_source_consistency,shap_non_hallucination,shap_informativeness,shap_conciseness
kimi-k2.5,Qwen2.5-7b-instruct,temperature_000,variant0_neutral_baseline,1402,1,0.7,0.2,0.0,0.0,0.3,0.9,0.03406417894820052,-0.0774139959227614,0.013256020146118135,0.02358648304995836,0.002255580940380753,0.04213573325078831
kimi-k2.5,Qwen2.5-7b-instruct,temperature_000,variant1_predicted_event,1402,1,0.7,0.2,0.0,0.0,0.3,0.9,0.03406417894820052,-0.0774139959227614,0.013256020146118135,0.02358648304995836,0.002255580940380753,0.04213573325078831
kimi-k2.5,Qwen2.5-7b-instruct,temperature_000,variant2_key_attribute,1402,1,0.7,0.2,0.0,0.0,0.3,0.9,0.03406417894820052,-0.0774139959227614,0.013256020146118135,0.02358648304995836,0.002255580940380753,0.04213573325078831
kimi-k2.5,Qwen2.5-7b-instruct,temperature_000,variant3_reasoning_type,1402,1,0.7,0.2,0.0,0.0,0.3,0.9,0.03406417894820052,-0.0774139959227614,0.013256020146118135,0.02358648304995836,0.002255580940380753,0.04213573325078831
kimi-k2.5,Qwen2.5-7b-instruct,temperature_000,variant4_credibility,1402,1,0.6,0.2,0.0,0.0,0.3,0.8,-0.003174629144283246,-0.07711485088474099,0.014218626840753635,0.029330183219874115,-0.0060885734875528235,-0.006699139310493809
kimi-k2.5,Qwen2.5-7b-instruct,temperature_000,variant5_key_conditions,1402,1,0.7,0.3,0.0,0.0,0.4,0.9,0.02764627134991409,-0.0849477736845494,0.008428679276254918,0.024377295814403722,-0.01796743534212563,0.03775680608945036
kimi-k2.5,Qwen2.5-7b-instruct,temperature_000,variant6_step_by_step_reasoning,1402,1,0.7,0.2,0.0,0.0,0.3,0.9,0.03406417894820052,-0.0774139959227614,0.013256020146118135,0.02358648304995836,0.002255580940380753,0.04213573325078831
kimi-k2.5,Qwen2.5-7b-instruct,temperature_000,variant7_uncertainty_language,1402,1,0.7,0.2,0.0,0.0,0.3,0.9,0.03406417894820052,-0.0774139959227614,0.013256020146118135,0.02358648304995836,0.002255580940380753,0.04213573325078831
kimi-k2.5,Qwen2.5-7b-instruct,temperature_000,variant8_temporal_anchors,1402,1,0.4,0.2,0.0,0.0,0.2,0.8,-0.0015932202908184843,-0.07619298260528805,0.015694722422106646,0.032056379941905806,-0.0027849663599459813,-0.005637629622778883
kimi-k2.5,Qwen2.5-7b-instruct,temperature_000,variant0_neutral_baseline,1517,1,0.9,0.8,0.7,0.7,0.8,0.9,0.07130481160898253,0.07933489726340244,-0.014146767548238444,-0.0077885906735334545,0.014352914984113771,0.01648505454565766
kimi-k2.5,Qwen2.5-7b-instruct,temperature_000,variant1_predicted_event,1517,1,0.9,0.8,0.6,0.6,0.8,0.9,0.06982202996786603,0.09155945064044124,0.0009055374330992669,-0.004598508209892553,0.017463026810253576,0.015613902084265191
kimi-k2.5,Qwen2.5-7b-instruct,temperature_000,variant2_key_attribute,1517,1,0.9,0.8,0.7,0.7,0.8,0.9,0.07130481160898253,0.07933489726340244,-0.014146767548238444,-0.0077885906735334545,0.014352914984113771,0.01648505454565766
kimi-k2.5,Qwen2.5-7b-instruct,temperature_000,variant3_reasoning_type,1517,1,0.8,0.8,0.2,0.0,0.7,0.9,0.0021287808267236507,0.16962224017612373,0.04240935774779846,0.09006729052275357,0.027989450180119033,0.025190248092421208
kimi-k2.5,Qwen2.5-7b-instruct,temperature_000,variant4_credibility,1517,1,0.9,0.7,0.8,0.8,0.7,0.9,0.07780190964829772,0.020738264693431974,-0.015042720170560402,-0.015093186287084078,0.030652045525879728,0.019292769667018404
kimi-k2.5,Qwen2.5-7b-instruct,temperature_000,variant5_key_conditions,1517,1,0.9,0.6,0.7,0.7,0.6,1.0,0.111204281384937,-0.04630067660651621,-0.008128310369667602,-0.013800170764454297,-0.028715714602715325,0.024846600598644512
kimi-k2.5,Qwen2.5-7b-instruct,temperature_000,variant6_step_by_step_reasoning,1517,1,0.9,0.8,0.7,0.7,0.8,0.9,0.07130481160898253,0.07933489726340244,-0.014146767548238444,-0.0077885906735334545,0.014352914984113771,0.01648505454565766
kimi-k2.5,Qwen2.5-7b-instruct,temperature_000,variant7_uncertainty_language,1517,1,0.9,0.8,0.6,0.6,0.8,0.9,0.06982202996786603,0.09155945064044124,0.0009055374330992669,-0.004598508209892553,0.017463026810253576,0.015613902084265191
