model,variant,base_acc,var_acc,delta
Qwen3-32B,variant4_credibility,0.7146,0.7301,0.0155
GPT-OSS-120B,variant8_temporal_anchors,0.8148,0.8167,0.0019
GPT-OSS-120B,variant6_step_by_step_reasoning,0.8148,0.8166,0.0018
GPT-OSS-120B,variant4_credibility,0.8148,0.815,0.0002
GPT-OSS-120B,variant2_key_attribute,0.8148,0.813,-0.0018
GPT-OSS-120B,variant7_uncertainty_language,0.8148,0.8126,-0.0022
Qwen3-32B,variant8_temporal_anchors,0.7146,0.7122,-0.0024
Qwen2.5-7b-instruct,variant8_temporal_anchors,0.7434,0.7388,-0.0046
GPT-OSS-120B,variant5_key_conditions,0.8148,0.809,-0.0058
GPT-OSS-120B,variant3_reasoning_type,0.8148,0.804,-0.0108
Qwen2.5-7b-instruct,variant4_credibility,0.7434,0.7312,-0.0122
Qwen2.5-7b-instruct,variant6_step_by_step_reasoning,0.7434,0.731,-0.0124
GPT-OSS-120B,variant1_predicted_event,0.8148,0.8013,-0.0135
Qwen3-32B,variant2_key_attribute,0.7146,0.6983,-0.0163
Qwen3-32B,variant7_uncertainty_language,0.7146,0.6966,-0.018
