model,temperature_dir,variant,baseline_variant,n_paired_questions,baseline_n_scored,variant_n_scored,baseline_n_missing,variant_n_missing,baseline_coverage,variant_coverage,coverage_delta,brier_delta,brier_delta_ci_low,brier_delta_ci_high,brier_p_permutation,brier_q_bh,brier_effect_dz,log_loss_delta,log_loss_delta_ci_low,log_loss_delta_ci_high,log_loss_p_permutation,log_loss_q_bh,log_loss_effect_dz,accuracy_delta,accuracy_delta_ci_low,accuracy_delta_ci_high,accuracy_p_permutation,accuracy_q_bh,accuracy_effect_dz
GPT-OSS-120B,temperature_00,variant1_predicted_event,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,0.00450132911392405,-0.002924875000000002,0.011865838607594933,0.24127587241275872,0.3265916399014304,0.029755039252960032,0.010803019490061697,-0.00662482215146114,0.028329391298063476,0.2126787321267873,0.3520199704167514,0.03107308873089783,-0.00949367088607595,-0.022151898734177215,0.002531645569620253,0.14678532146785322,0.24867160342789252,-0.03873371765849187
GPT-OSS-120B,temperature_00,variant2_key_attribute,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,0.01506386075949367,0.006945471518987342,0.023135069620253162,0.00029997000299970003,0.001053553181267239,0.09205289272363168,0.0323603691714858,0.013968155194514038,0.05021366432248082,0.0007999200079992001,0.0032910994614824235,0.08761961051556784,-0.008860759493670886,-0.020253164556962026,0.0031645569620253164,0.16278372162783722,0.27256809202800647,-0.03756012239034975
GPT-OSS-120B,temperature_00,variant3_reasoning_type,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,0.02351753164556962,0.014999420886075946,0.032064205696202525,9.999000099990002e-05,0.0004234870630584001,0.13712334190926684,0.05256965768034515,0.03338452423819187,0.07196213967852591,9.999000099990002e-05,0.0005999400059994001,0.13315283595581706,-0.013924050632911392,-0.02721518987341772,-0.0006329113924050633,0.043695630436956304,0.09831516848315168,-0.05282820734141204
GPT-OSS-120B,temperature_00,variant4_credibility,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,0.011352151898734177,0.003421919303797468,0.019391325949367086,0.005099490050994901,0.012038140448250257,0.07065272815043547,0.025663215835191603,0.007843455637777342,0.043338839222799096,0.0037996200379962005,0.011641389052584104,0.07084827621267593,-0.0006329113924050633,-0.013291139240506329,0.012025316455696202,1.0,1.0,-0.0024543734108734604
GPT-OSS-120B,temperature_00,variant5_key_conditions,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,-0.007920569620253165,-0.014697974683544304,-0.0011289636075949364,0.023397660233976603,0.04492350764923508,-0.05750047539210478,-0.0183843009138864,-0.03387208589811166,-0.00256086198272072,0.019198080191980802,0.04766419909733165,-0.05838221911406533,-0.0006329113924050633,-0.012025316455696202,0.010759493670886076,1.0,1.0,-0.002696347928164024
GPT-OSS-120B,temperature_00,variant6_step_by_step_reasoning,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,0.0037795569620253165,-0.00419573101265823,0.01192006170886076,0.3685631436856314,0.46555344465553444,0.02314649746761225,0.009348209215133229,-0.008853187327364289,0.027750570067150634,0.32066793320667936,0.4898541724774891,0.024991346955999562,0.0,-0.01139240506329114,0.01139240506329114,1.0,1.0,0.0
GPT-OSS-120B,temperature_00,variant7_uncertainty_language,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,0.01801025316455696,0.009672917721518983,0.026446318037974675,9.999000099990002e-05,0.0004234870630584001,0.10436214196388338,0.04014032687445998,0.020895591240050193,0.059535952039433244,9.999000099990002e-05,0.0005999400059994001,0.10214920843767993,-0.004430379746835443,-0.016455696202531647,0.006962025316455696,0.5223477652234777,0.6540702451493982,-0.0186643424565346
GPT-OSS-120B,temperature_00,variant8_temporal_anchors,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,-0.006052025316455697,-0.013422856012658229,0.0015001629746835459,0.10878912108789121,0.1615013756356323,-0.039921817609326456,-0.01330202519716857,-0.030480281539679265,0.003659455174924256,0.12768723127687232,0.22423123541304404,-0.03835721430563562,0.0031645569620253164,-0.008860759493670886,0.015189873417721518,0.6862313768623137,0.8099780185915835,0.013040656520815588
GPT-OSS-120B,temperature_025,variant1_predicted_event,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,0.008114367088607593,0.0004956329113924049,0.015637444620253165,0.0341965803419658,0.05932900685835031,0.05287629388888962,0.01888704002144065,0.0017218310145048757,0.03608171599669361,0.031996800319968,0.069811200698112,0.05448522209133153,-0.012658227848101266,-0.024683544303797468,-0.0006329113924050633,0.05319468053194681,0.11606112116061122,-0.05140457339129438
GPT-OSS-120B,temperature_025,variant2_key_attribute,variant0_neutral_baseline,1580,1580,1580,0,0,1.0,1.0,0.0,0.0109876582278481,0.002794488924050632,0.019471805379746833,0.0084991500849915,0.018266830033414568,0.06593102992791197,0.025159470241057882,0.006269373413507595,0.043970921892960944,0.009499050094990502,0.024870240248702404,0.06688020487696891,0.0006329113924050633,-0.012041139240506314,0.013291139240506329,1.0,1.0,0.0024543734108734604
