original_id,perturbation_id,perturbation_type,baseline_answer,perturbed_answer,baseline_confidence,perturbed_confidence,baseline_p_yes,perturbed_p_yes,delta_p_yes,abs_delta_p_yes,answer_flipped
4882,488201,evidence_masking,no,no,0.71,0.93,0.29000000000000004,0.06999999999999995,-0.22000000000000008,0.22000000000000008,0
4882,488202,contradiction,no,no,0.71,0.86,0.29000000000000004,0.14,-0.15000000000000002,0.15000000000000002,0
4882,488203,actor_date_swap,no,no,0.71,0.07,0.29000000000000004,0.9299999999999999,0.6399999999999999,0.6399999999999999,0
4882,488204,criterion_swap,no,no,0.71,0.88,0.29000000000000004,0.12,-0.17000000000000004,0.17000000000000004,0
11332,1133201,evidence_masking,no,no,0.86,0.96,0.14,0.040000000000000036,-0.09999999999999998,0.09999999999999998,0
11332,1133202,contradiction,no,no,0.86,0.83,0.14,0.17000000000000004,0.030000000000000027,0.030000000000000027,0
11332,1133203,actor_date_swap,no,no,0.86,0.9,0.14,0.09999999999999998,-0.040000000000000036,0.040000000000000036,0
11332,1133204,criterion_swap,no,no,0.86,0.96,0.14,0.040000000000000036,-0.09999999999999998,0.09999999999999998,0
12348,1234801,evidence_masking,no,no,0.78,0.86,0.21999999999999997,0.14,-0.07999999999999996,0.07999999999999996,0
12348,1234802,contradiction,no,no,0.78,0.85,0.21999999999999997,0.15000000000000002,-0.06999999999999995,0.06999999999999995,0
12348,1234803,actor_date_swap,no,no,0.78,0.85,0.21999999999999997,0.15000000000000002,-0.06999999999999995,0.06999999999999995,0
12348,1234804,criterion_swap,no,no,0.78,0.9,0.21999999999999997,0.09999999999999998,-0.12,0.12,0
15602,1560201,evidence_masking,no,no,0.15,0.86,0.85,0.14,-0.71,0.71,0
15602,1560202,contradiction,no,no,0.15,0.15,0.85,0.85,0.0,0.0,0
15602,1560203,actor_date_swap,no,no,0.15,0.85,0.85,0.15000000000000002,-0.7,0.7,0
15602,1560204,criterion_swap,no,no,0.15,0.86,0.85,0.14,-0.71,0.71,0
20333,2033301,evidence_masking,no,no,0.66,0.92,0.33999999999999997,0.07999999999999996,-0.26,0.26,0
20333,2033302,contradiction,no,no,0.66,0.9,0.33999999999999997,0.09999999999999998,-0.24,0.24,0
20333,2033303,actor_date_swap,no,no,0.66,0.88,0.33999999999999997,0.12,-0.21999999999999997,0.21999999999999997,0
20333,2033304,criterion_swap,no,no,0.66,0.9,0.33999999999999997,0.09999999999999998,-0.24,0.24,0
21167,2116701,evidence_masking,no,no,0.78,0.15,0.21999999999999997,0.85,0.63,0.63,0
21167,2116702,contradiction,no,no,0.78,0.86,0.21999999999999997,0.14,-0.07999999999999996,0.07999999999999996,0
21167,2116703,actor_date_swap,no,no,0.78,0.85,0.21999999999999997,0.15000000000000002,-0.06999999999999995,0.06999999999999995,0
