model,variant,delta_strict_accuracy_vs_baseline
DeepSeek-V3,variant0_neutral_baseline,0.000
DeepSeek-V3,variant1_predicted_event,-0.041
DeepSeek-V3,variant2_key_attribute,-0.012
DeepSeek-V3,variant3_reasoning_type,-0.016
DeepSeek-V3,variant4_credibility,0.006
DeepSeek-V3,variant7_uncertainty_language,-0.018
DeepSeek-V3,variant8_temporal_anchors,0.011
Llama-3.3-70B-Instruct,variant0_neutral_baseline,0.000
Llama-3.3-70B-Instruct,variant1_predicted_event,-0.090
Llama-3.3-70B-Instruct,variant2_key_attribute,-0.029
Llama-3.3-70B-Instruct,variant3_reasoning_type,-0.017
Llama-3.3-70B-Instruct,variant4_credibility,0.003
Llama-3.3-70B-Instruct,variant5_key_conditions,-0.027
Llama-3.3-70B-Instruct,variant6_step_by_step_reasoning,-0.026
Llama-3.3-70B-Instruct,variant7_uncertainty_language,-0.001
Llama-3.3-70B-Instruct,variant8_temporal_anchors,0.011
Qwen2.5-7B-Instruct,variant0_neutral_baseline,0.000
Qwen2.5-7B-Instruct,variant1_predicted_event,-0.023
Qwen2.5-7B-Instruct,variant2_key_attribute,-0.024
Qwen2.5-7B-Instruct,variant3_reasoning_type,-0.018
Qwen2.5-7B-Instruct,variant4_credibility,-0.012
Qwen2.5-7B-Instruct,variant5_key_conditions,-0.048
Qwen2.5-7B-Instruct,variant6_step_by_step_reasoning,-0.013
Qwen2.5-7B-Instruct,variant7_uncertainty_language,-0.019
Qwen2.5-7B-Instruct,variant8_temporal_anchors,-0.005
