model,variant,lead_days,n,accuracy,brier,ece,evidence_kept_frac,evidence_n_fetched,evidence_n_kept,evidence_frac_any,evidence_n_kept_p50,evidence_n_kept_p25
GPT-OSS-120B,variant0_neutral_baseline,none,1577,0.8218,0.1583,0.1059,,,,,,
GPT-OSS-120B,variant0_neutral_baseline,7,1577,0.7197,0.1935,0.042,0.304,2.14,0.71,0.3219,0.0,0
GPT-OSS-120B,variant0_neutral_baseline,30,1577,0.6988,0.1979,0.0336,0.2313,2.14,0.54,0.2708,0,0
GPT-OSS-120B,variant0_neutral_baseline,90,1577,0.6867,0.2064,0.0348,0.1474,2.14,0.34,0.1984,0.0,0
Qwen2.5-7b-instruct,variant0_neutral_baseline,none,1580,0.7544,0.1874,0.0978,,,,,,
Qwen2.5-7b-instruct,variant0_neutral_baseline,7,1580,0.6582,0.2785,0.2443,0.3049,2.14,0.71,0.3228,0.0,0
Qwen2.5-7b-instruct,variant0_neutral_baseline,30,1580,0.6449,0.2866,0.2527,0.2326,2.14,0.54,0.2722,0.0,0
Qwen2.5-7b-instruct,variant0_neutral_baseline,90,1580,0.6481,0.2835,0.2449,0.1486,2.14,0.34,0.1994,0.0,0
Qwen3-32B,variant0_neutral_baseline,none,1580,0.7228,0.1997,0.1044,,,,,,
Qwen3-32B,variant0_neutral_baseline,7,1580,0.6095,0.3287,0.2692,0.3049,2.14,0.71,0.3228,0.0,0
Qwen3-32B,variant0_neutral_baseline,30,1580,0.5823,0.3374,0.2832,0.2326,2.14,0.54,0.2722,0.0,0
Qwen3-32B,variant0_neutral_baseline,90,1580,0.581,0.346,0.2981,0.1486,2.14,0.34,0.1994,0.0,0
