dataset,fold,train_rows,test_rows,train_questions,test_questions,overlap_questions,test_positive_rate
combined_mean__judge_only,1,34122,8530,1264,316,0,0.758147713950762
combined_mean__judge_only,2,34121,8531,1264,316,0,0.7099988278044778
combined_mean__judge_only,3,34121,8531,1264,316,0,0.7605204548118626
combined_mean__judge_only,4,34121,8531,1264,316,0,0.7728285077951003
combined_mean__judge_only,5,34123,8529,1264,316,0,0.7710165318325712
combined_mean__full,1,34122,8530,1264,316,0,0.758147713950762
combined_mean__full,2,34121,8531,1264,316,0,0.7099988278044778
combined_mean__full,3,34121,8531,1264,316,0,0.7605204548118626
combined_mean__full,4,34121,8531,1264,316,0,0.7728285077951003
combined_mean__full,5,34123,8529,1264,316,0,0.7710165318325712
