forecast_model,rank,feature,feature_type,mean_abs_shap
GPT-OSS-120B,1,completeness,rationale_quality,0.0440633190530391
GPT-OSS-120B,2,plausibility,rationale_quality,0.0302483358749384
GPT-OSS-120B,3,informativeness,rationale_quality,0.0272591063354588
GPT-OSS-120B,4,evidence_words,control,0.0264099700610234
GPT-OSS-120B,5,conciseness,rationale_quality,0.0153408151286775
GPT-OSS-120B,6,non_hallucination,rationale_quality,0.0124117906430136
Qwen2.5-7B-Instruct,1,completeness,rationale_quality,0.04994148847124
Qwen2.5-7B-Instruct,2,plausibility,rationale_quality,0.0469489519094886
Qwen2.5-7B-Instruct,3,informativeness,rationale_quality,0.0285005972098455
Qwen2.5-7B-Instruct,4,source_consistency,rationale_quality,0.0194332334474044
Qwen2.5-7B-Instruct,5,conciseness,rationale_quality,0.015890005728149
Qwen2.5-7B-Instruct,6,evidence_words,control,0.0150345288759958
Qwen3-32B,1,completeness,rationale_quality,0.0549717451741185
Qwen3-32B,2,plausibility,rationale_quality,0.0492566067583595
Qwen3-32B,3,informativeness,rationale_quality,0.0321420407186614
Qwen3-32B,4,conciseness,rationale_quality,0.0259621915454209
Qwen3-32B,5,evidence_words,control,0.0147600599337687
Qwen3-32B,6,source_consistency,rationale_quality,0.010023996778376
