model,variant,n,mean_words,median_words,max_words
GPT-OSS-120B,variant0_neutral_baseline,1580,53.7,53.0,96
GPT-OSS-120B,variant1_predicted_event,1580,54.4,54.0,92
GPT-OSS-120B,variant2_key_attribute,1580,54.9,55.0,84
GPT-OSS-120B,variant3_reasoning_type,1580,50.5,50.0,118
GPT-OSS-120B,variant4_credibility,1580,57.8,57.0,97
GPT-OSS-120B,variant5_key_conditions,1580,58.4,58.0,94
GPT-OSS-120B,variant6_step_by_step_reasoning,1580,56.7,56.0,92
GPT-OSS-120B,variant7_uncertainty_language,1580,54.0,53.0,108
GPT-OSS-120B,variant8_temporal_anchors,1580,45.8,45.5,92
Qwen2.5-7b-instruct,variant0_neutral_baseline,1580,45.4,44.0,95
Qwen2.5-7b-instruct,variant1_predicted_event,1580,40.5,40.0,79
Qwen2.5-7b-instruct,variant2_key_attribute,1580,44.1,43.0,80
Qwen2.5-7b-instruct,variant3_reasoning_type,1580,43.6,43.0,82
Qwen2.5-7b-instruct,variant4_credibility,1580,54.1,53.0,103
Qwen2.5-7b-instruct,variant5_key_conditions,1580,38.9,38.5,69
Qwen2.5-7b-instruct,variant6_step_by_step_reasoning,1580,41.5,41.0,92
Qwen2.5-7b-instruct,variant7_uncertainty_language,1580,45.4,45.0,80
Qwen2.5-7b-instruct,variant8_temporal_anchors,1580,46.0,45.0,105
Qwen3-32B,variant0_neutral_baseline,1580,55.0,54.0,96
Qwen3-32B,variant1_predicted_event,1580,56.3,55.0,98
Qwen3-32B,variant2_key_attribute,1580,56.2,55.0,97
Qwen3-32B,variant3_reasoning_type,1580,52.4,52.0,101
Qwen3-32B,variant4_credibility,1580,70.2,70.0,117
Qwen3-32B,variant5_key_conditions,1580,57.0,56.0,98
Qwen3-32B,variant6_step_by_step_reasoning,1580,57.9,57.0,102
Qwen3-32B,variant7_uncertainty_language,1580,61.4,61.0,106
Qwen3-32B,variant8_temporal_anchors,1580,58.2,57.0,133
