model,variant,attribute,n,raw_beta,partial_beta_controlling_length,attenuation
Qwen2.5-7b-instruct,variant1_predicted_event,plausibility,3160,-0.0099,-0.0247,0.0148
Qwen2.5-7b-instruct,variant1_predicted_event,completeness,3160,-0.032,-0.0428,0.0108
Qwen2.5-7b-instruct,variant1_predicted_event,source_consistency,3160,-0.0028,-0.0239,0.0212
Qwen2.5-7b-instruct,variant1_predicted_event,non_hallucination,3160,0.009,-0.0148,0.0237
Qwen2.5-7b-instruct,variant1_predicted_event,informativeness,3160,-0.0328,-0.0395,0.0067
Qwen2.5-7b-instruct,variant1_predicted_event,conciseness,3160,0.0047,-0.004,0.0087
Qwen2.5-7b-instruct,variant2_key_attribute,plausibility,3160,-0.0231,-0.0279,0.0048
Qwen2.5-7b-instruct,variant2_key_attribute,completeness,3160,-0.0184,-0.023,0.0046
Qwen2.5-7b-instruct,variant2_key_attribute,source_consistency,3160,-0.023,-0.0293,0.0063
Qwen2.5-7b-instruct,variant2_key_attribute,non_hallucination,3160,-0.0184,-0.0253,0.0069
Qwen2.5-7b-instruct,variant2_key_attribute,informativeness,3160,-0.0198,-0.0232,0.0034
Qwen2.5-7b-instruct,variant2_key_attribute,conciseness,3160,-0.0035,-0.0062,0.0027
Qwen2.5-7b-instruct,variant3_reasoning_type,plausibility,3160,-0.0149,-0.0211,0.0061
Qwen2.5-7b-instruct,variant3_reasoning_type,completeness,3160,-0.0193,-0.0248,0.0056
Qwen2.5-7b-instruct,variant3_reasoning_type,source_consistency,3160,-0.0133,-0.0212,0.0079
Qwen2.5-7b-instruct,variant3_reasoning_type,non_hallucination,3160,-0.011,-0.0198,0.0088
Qwen2.5-7b-instruct,variant3_reasoning_type,informativeness,3160,-0.0172,-0.0209,0.0037
Qwen2.5-7b-instruct,variant3_reasoning_type,conciseness,3160,-0.003,-0.0066,0.0036
Qwen2.5-7b-instruct,variant4_credibility,plausibility,3160,-0.0564,-0.0243,-0.0321
Qwen2.5-7b-instruct,variant4_credibility,completeness,3160,-0.0281,-0.001,-0.0271
Qwen2.5-7b-instruct,variant4_credibility,source_consistency,3160,-0.0756,-0.038,-0.0376
Qwen2.5-7b-instruct,variant4_credibility,non_hallucination,3160,-0.0837,-0.0429,-0.0408
Qwen2.5-7b-instruct,variant4_credibility,informativeness,3160,-0.0304,-0.0096,-0.0208
Qwen2.5-7b-instruct,variant4_credibility,conciseness,3160,-0.0384,-0.019,-0.0194
Qwen2.5-7b-instruct,variant5_key_conditions,plausibility,3160,-0.0358,-0.0523,0.0165
Qwen2.5-7b-instruct,variant5_key_conditions,completeness,3160,-0.0555,-0.0647,0.0091
Qwen2.5-7b-instruct,variant5_key_conditions,source_consistency,3160,-0.0269,-0.0498,0.0229
Qwen2.5-7b-instruct,variant5_key_conditions,non_hallucination,3160,-0.0159,-0.0427,0.0268
Qwen2.5-7b-instruct,variant5_key_conditions,informativeness,3160,-0.0578,-0.0618,0.004
Qwen2.5-7b-instruct,variant5_key_conditions,conciseness,3160,0.004,-0.0075,0.0115
Qwen2.5-7b-instruct,variant6_step_by_step_reasoning,plausibility,3160,-0.0113,-0.0259,0.0146
Qwen2.5-7b-instruct,variant6_step_by_step_reasoning,completeness,3160,-0.0183,-0.0305,0.0121
Qwen2.5-7b-instruct,variant6_step_by_step_reasoning,source_consistency,3160,-0.0074,-0.0274,0.0201
Qwen2.5-7b-instruct,variant6_step_by_step_reasoning,non_hallucination,3160,0.0006,-0.022,0.0226
Qwen2.5-7b-instruct,variant6_step_by_step_reasoning,informativeness,3160,-0.0204,-0.0288,0.0084
Qwen2.5-7b-instruct,variant6_step_by_step_reasoning,conciseness,3160,0.0014,-0.0066,0.008
Qwen2.5-7b-instruct,variant7_uncertainty_language,plausibility,3160,-0.019,-0.0191,0.0001
Qwen2.5-7b-instruct,variant7_uncertainty_language,completeness,3160,-0.0229,-0.023,0.0001
Qwen2.5-7b-instruct,variant7_uncertainty_language,source_consistency,3160,-0.0205,-0.0206,0.0001
Qwen2.5-7b-instruct,variant7_uncertainty_language,non_hallucination,3160,-0.0136,-0.0137,0.0001
Qwen2.5-7b-instruct,variant7_uncertainty_language,informativeness,3160,-0.0225,-0.0225,0.0
Qwen2.5-7b-instruct,variant7_uncertainty_language,conciseness,3160,-0.0051,-0.0052,0.0
Qwen2.5-7b-instruct,variant8_temporal_anchors,plausibility,3160,-0.0338,-0.0318,-0.002
Qwen2.5-7b-instruct,variant8_temporal_anchors,completeness,3160,-0.013,-0.0112,-0.0018
Qwen2.5-7b-instruct,variant8_temporal_anchors,source_consistency,3160,-0.0476,-0.045,-0.0027
Qwen2.5-7b-instruct,variant8_temporal_anchors,non_hallucination,3160,-0.0557,-0.0527,-0.003
Qwen2.5-7b-instruct,variant8_temporal_anchors,informativeness,3160,-0.0148,-0.0135,-0.0013
Qwen2.5-7b-instruct,variant8_temporal_anchors,conciseness,3160,-0.0073,-0.0061,-0.0012
Qwen3-32B,variant1_predicted_event,plausibility,3160,-0.0202,-0.0181,-0.0021
Qwen3-32B,variant1_predicted_event,completeness,3160,-0.0142,-0.0121,-0.0021
Qwen3-32B,variant1_predicted_event,source_consistency,3160,-0.0279,-0.0246,-0.0033
Qwen3-32B,variant1_predicted_event,non_hallucination,3160,-0.0356,-0.0306,-0.0051
Qwen3-32B,variant1_predicted_event,informativeness,3160,-0.014,-0.0128,-0.0012
Qwen3-32B,variant1_predicted_event,conciseness,3160,-0.008,-0.0064,-0.0016
Qwen3-32B,variant2_key_attribute,plausibility,3160,-0.0187,-0.0164,-0.0023
Qwen3-32B,variant2_key_attribute,completeness,3160,-0.0079,-0.0055,-0.0024
Qwen3-32B,variant2_key_attribute,source_consistency,3160,-0.029,-0.025,-0.004
Qwen3-32B,variant2_key_attribute,non_hallucination,3160,-0.0388,-0.0332,-0.0056
Qwen3-32B,variant2_key_attribute,informativeness,3160,-0.0092,-0.0077,-0.0015
Qwen3-32B,variant2_key_attribute,conciseness,3160,-0.0054,-0.0039,-0.0015
Qwen3-32B,variant3_reasoning_type,plausibility,3160,-0.0201,-0.0249,0.0049
Qwen3-32B,variant3_reasoning_type,completeness,3160,-0.016,-0.0207,0.0048
Qwen3-32B,variant3_reasoning_type,source_consistency,3160,-0.0254,-0.0324,0.007
Qwen3-32B,variant3_reasoning_type,non_hallucination,3160,-0.0335,-0.0442,0.0107
Qwen3-32B,variant3_reasoning_type,informativeness,3160,-0.0145,-0.0175,0.003
Qwen3-32B,variant3_reasoning_type,conciseness,3160,-0.0007,-0.0044,0.0038
Qwen3-32B,variant4_credibility,plausibility,3160,-0.0171,0.0181,-0.0352
Qwen3-32B,variant4_credibility,completeness,3160,0.0121,0.0465,-0.0344
Qwen3-32B,variant4_credibility,source_consistency,3160,-0.0321,0.0257,-0.0578
Qwen3-32B,variant4_credibility,non_hallucination,3160,-0.0453,0.0347,-0.0799
Qwen3-32B,variant4_credibility,informativeness,3160,0.0107,0.0336,-0.0229
Qwen3-32B,variant4_credibility,conciseness,3160,-0.0438,-0.024,-0.0197
Qwen3-32B,variant5_key_conditions,plausibility,3160,-0.0217,-0.018,-0.0038
Qwen3-32B,variant5_key_conditions,completeness,3160,-0.0094,-0.0057,-0.0037
Qwen3-32B,variant5_key_conditions,source_consistency,3160,-0.028,-0.0218,-0.0062
Qwen3-32B,variant5_key_conditions,non_hallucination,3160,-0.0372,-0.0286,-0.0085
Qwen3-32B,variant5_key_conditions,informativeness,3160,-0.0115,-0.0093,-0.0022
Qwen3-32B,variant5_key_conditions,conciseness,3160,-0.0089,-0.0065,-0.0024
Qwen3-32B,variant6_step_by_step_reasoning,plausibility,3160,-0.0125,-0.0072,-0.0054
Qwen3-32B,variant6_step_by_step_reasoning,completeness,3160,-0.0024,0.003,-0.0054
Qwen3-32B,variant6_step_by_step_reasoning,source_consistency,3160,-0.0178,-0.0092,-0.0086
Qwen3-32B,variant6_step_by_step_reasoning,non_hallucination,3160,-0.0251,-0.0128,-0.0123
Qwen3-32B,variant6_step_by_step_reasoning,informativeness,3160,-0.0041,-0.0005,-0.0036
Qwen3-32B,variant6_step_by_step_reasoning,conciseness,3160,-0.0094,-0.0052,-0.0041
Qwen3-32B,variant7_uncertainty_language,plausibility,3160,-0.0166,-0.0077,-0.0089
Qwen3-32B,variant7_uncertainty_language,completeness,3160,-0.0057,0.0044,-0.0101
Qwen3-32B,variant7_uncertainty_language,source_consistency,3160,-0.0223,-0.0043,-0.018
Qwen3-32B,variant7_uncertainty_language,non_hallucination,3160,-0.0261,-0.0005,-0.0256
Qwen3-32B,variant7_uncertainty_language,informativeness,3160,-0.004,0.0013,-0.0053
Qwen3-32B,variant7_uncertainty_language,conciseness,3160,-0.0135,-0.0052,-0.0083
Qwen3-32B,variant8_temporal_anchors,plausibility,3160,-0.0232,-0.0163,-0.0069
Qwen3-32B,variant8_temporal_anchors,completeness,3160,0.0011,0.0086,-0.0075
Qwen3-32B,variant8_temporal_anchors,source_consistency,3160,-0.038,-0.0273,-0.0107
Qwen3-32B,variant8_temporal_anchors,non_hallucination,3160,-0.0553,-0.0403,-0.0151
Qwen3-32B,variant8_temporal_anchors,informativeness,3160,-0.0026,0.0031,-0.0057
Qwen3-32B,variant8_temporal_anchors,conciseness,3160,-0.0097,-0.0046,-0.0051
GPT-OSS-120B,variant1_predicted_event,plausibility,3160,-0.013,-0.0118,-0.0012
GPT-OSS-120B,variant1_predicted_event,completeness,3160,-0.0076,-0.0061,-0.0014
GPT-OSS-120B,variant1_predicted_event,source_consistency,3160,-0.0187,-0.0178,-0.0009
GPT-OSS-120B,variant1_predicted_event,non_hallucination,3160,-0.0241,-0.0227,-0.0014
GPT-OSS-120B,variant1_predicted_event,informativeness,3160,-0.0081,-0.0071,-0.001
GPT-OSS-120B,variant1_predicted_event,conciseness,3160,-0.0083,-0.0074,-0.0009
GPT-OSS-120B,variant2_key_attribute,plausibility,3160,-0.0129,-0.0107,-0.0021
GPT-OSS-120B,variant2_key_attribute,completeness,3160,-0.0051,-0.0027,-0.0024
GPT-OSS-120B,variant2_key_attribute,source_consistency,3160,-0.0125,-0.0109,-0.0016
GPT-OSS-120B,variant2_key_attribute,non_hallucination,3160,-0.0165,-0.0143,-0.0022
GPT-OSS-120B,variant2_key_attribute,informativeness,3160,-0.007,-0.0052,-0.0018
GPT-OSS-120B,variant2_key_attribute,conciseness,3160,-0.0067,-0.0052,-0.0015
GPT-OSS-120B,variant3_reasoning_type,plausibility,3160,-0.0183,-0.0249,0.0066
GPT-OSS-120B,variant3_reasoning_type,completeness,3160,-0.014,-0.0209,0.0069
GPT-OSS-120B,variant3_reasoning_type,source_consistency,3160,-0.0121,-0.0176,0.0054
GPT-OSS-120B,variant3_reasoning_type,non_hallucination,3160,-0.0179,-0.0251,0.0072
GPT-OSS-120B,variant3_reasoning_type,informativeness,3160,-0.0148,-0.0199,0.0051
GPT-OSS-120B,variant3_reasoning_type,conciseness,3160,-0.0079,-0.0122,0.0043
GPT-OSS-120B,variant4_credibility,plausibility,3160,-0.0282,-0.0193,-0.0089
GPT-OSS-120B,variant4_credibility,completeness,3160,-0.0172,-0.0078,-0.0094
GPT-OSS-120B,variant4_credibility,source_consistency,3160,-0.0315,-0.0194,-0.0121
GPT-OSS-120B,variant4_credibility,non_hallucination,3160,-0.0319,-0.0173,-0.0146
GPT-OSS-120B,variant4_credibility,informativeness,3160,-0.0179,-0.0111,-0.0069
GPT-OSS-120B,variant4_credibility,conciseness,3160,-0.0217,-0.0164,-0.0052
GPT-OSS-120B,variant5_key_conditions,plausibility,3160,-0.0114,-0.0028,-0.0087
GPT-OSS-120B,variant5_key_conditions,completeness,3160,0.0007,0.0104,-0.0097
GPT-OSS-120B,variant5_key_conditions,source_consistency,3160,-0.0143,-0.0061,-0.0082
GPT-OSS-120B,variant5_key_conditions,non_hallucination,3160,-0.0245,-0.0146,-0.0098
GPT-OSS-120B,variant5_key_conditions,informativeness,3160,0.0006,0.0078,-0.0072
GPT-OSS-120B,variant5_key_conditions,conciseness,3160,-0.0072,-0.0015,-0.0057
GPT-OSS-120B,variant6_step_by_step_reasoning,plausibility,3160,-0.0108,-0.0057,-0.0051
GPT-OSS-120B,variant6_step_by_step_reasoning,completeness,3160,-0.0011,0.0038,-0.0049
GPT-OSS-120B,variant6_step_by_step_reasoning,source_consistency,3160,-0.0103,-0.007,-0.0033
GPT-OSS-120B,variant6_step_by_step_reasoning,non_hallucination,3160,-0.0122,-0.0069,-0.0053
GPT-OSS-120B,variant6_step_by_step_reasoning,informativeness,3160,-0.0022,0.0012,-0.0034
GPT-OSS-120B,variant6_step_by_step_reasoning,conciseness,3160,-0.0087,-0.0049,-0.0038
GPT-OSS-120B,variant7_uncertainty_language,plausibility,3160,-0.0129,-0.0122,-0.0007
GPT-OSS-120B,variant7_uncertainty_language,completeness,3160,-0.0088,-0.008,-0.0008
GPT-OSS-120B,variant7_uncertainty_language,source_consistency,3160,-0.0024,-0.0015,-0.0009
GPT-OSS-120B,variant7_uncertainty_language,non_hallucination,3160,-0.0027,-0.0016,-0.0011
GPT-OSS-120B,variant7_uncertainty_language,informativeness,3160,-0.008,-0.0074,-0.0006
GPT-OSS-120B,variant7_uncertainty_language,conciseness,3160,-0.01,-0.0096,-0.0004
GPT-OSS-120B,variant8_temporal_anchors,plausibility,3160,-0.0129,-0.0288,0.016
GPT-OSS-120B,variant8_temporal_anchors,completeness,3160,-0.0067,-0.0251,0.0185
GPT-OSS-120B,variant8_temporal_anchors,source_consistency,3160,-0.0134,-0.0277,0.0143
GPT-OSS-120B,variant8_temporal_anchors,non_hallucination,3160,-0.0155,-0.0363,0.0208
GPT-OSS-120B,variant8_temporal_anchors,informativeness,3160,-0.0075,-0.0206,0.0132
GPT-OSS-120B,variant8_temporal_anchors,conciseness,3160,-0.001,-0.012,0.011
