model,temperature_dir,variant,n_expected,n_scored,n_missing,coverage,output_validity_rate,brier_score,brier_ci_low,brier_ci_high,log_loss,log_loss_ci_low,log_loss_ci_high,accuracy,accuracy_ci_low,accuracy_ci_high
GPT-OSS-120B,temperature_00,variant0_neutral_baseline,1580,1580,0,1.0,1.0,0.15941854430379748,0.15036973734177217,0.1689578813291139,0.49218864693491426,0.4710124885502983,0.5137003693462883,0.8246835443037974,0.8056962025316455,0.8430379746835444
GPT-OSS-120B,temperature_00,variant1_predicted_event,1580,1580,0,1.0,1.0,0.16391987341772152,0.15466689873417722,0.1732133227848101,0.502991666424976,0.48147523397286757,0.5248880929675855,0.8151898734177215,0.7962025316455696,0.8341772151898734
GPT-OSS-120B,temperature_00,variant2_key_attribute,1580,1580,0,1.0,1.0,0.17448240506329116,0.1649366455696203,0.18407454746835442,0.5245490161064,0.5025387991546072,0.5467547572689946,0.8158227848101266,0.7962025316455696,0.8348101265822785
GPT-OSS-120B,temperature_00,variant3_reasoning_type,1580,1580,0,1.0,1.0,0.1829360759493671,0.17352891930379746,0.1928311819620253,0.5447583046152593,0.5216942020399508,0.5680391665282232,0.8107594936708861,0.7911392405063291,0.8297626582278479
GPT-OSS-120B,temperature_00,variant4_credibility,1580,1580,0,1.0,1.0,0.17077069620253166,0.16223001265822784,0.179398253164557,0.5178518627701059,0.4982442250905294,0.537685743964377,0.8240506329113924,0.8050632911392405,0.8430379746835444
GPT-OSS-120B,temperature_00,variant5_key_conditions,1580,1580,0,1.0,1.0,0.1514979746835443,0.14302738765822787,0.1601605743670886,0.4738043460210279,0.4544390572319014,0.4935089972927319,0.8240506329113924,0.8050632911392405,0.8424050632911393
GPT-OSS-120B,temperature_00,variant6_step_by_step_reasoning,1580,1580,0,1.0,1.0,0.1631981012658228,0.15382998259493672,0.17269595094936707,0.5015368561500475,0.47979189080622253,0.5237404891488218,0.8246835443037974,0.8056962025316455,0.8430379746835444
GPT-OSS-120B,temperature_00,variant7_uncertainty_language,1580,1580,0,1.0,1.0,0.1774287974683544,0.16851370727848103,0.18679267879746836,0.5323289738093742,0.5117291575254214,0.5536182958803456,0.8202531645569621,0.8006329113924051,0.839240506329114
GPT-OSS-120B,temperature_00,variant8_temporal_anchors,1580,1580,0,1.0,1.0,0.15336651898734177,0.14452061234177216,0.16230608860759493,0.4788866217377457,0.4581075749727833,0.5000539882912857,0.8278481012658228,0.8088607594936709,0.8462025316455696
GPT-OSS-120B,temperature_025,variant0_neutral_baseline,1580,1580,0,1.0,1.0,0.15835816455696203,0.14919932120253165,0.16759310601265823,0.4888399755177445,0.4676423576162027,0.5094998630045974,0.8215189873417722,0.8025316455696202,0.8405063291139241
