dataset,fold,train_rows,test_rows,train_questions,test_questions,overlap_questions,test_positive_rate
combined_mean__judge_only,1,11372,2841,1264,316,0,0.8275255191833861
combined_mean__judge_only,2,11379,2834,1265,315,0,0.8193366266760762
combined_mean__judge_only,3,11363,2850,1263,317,0,0.828421052631579
combined_mean__judge_only,4,11369,2844,1264,316,0,0.8108298171589311
combined_mean__judge_only,5,11369,2844,1264,316,0,0.7988748241912799
combined_mean__full,1,11372,2841,1264,316,0,0.8275255191833861
combined_mean__full,2,11379,2834,1265,315,0,0.8193366266760762
combined_mean__full,3,11363,2850,1263,317,0,0.828421052631579
combined_mean__full,4,11369,2844,1264,316,0,0.8108298171589311
combined_mean__full,5,11369,2844,1264,316,0,0.7988748241912799
