dataset,fold,train_rows,test_rows,train_questions,test_questions,overlap_questions,test_positive_rate
combined_mean__judge_only,1,11376,2844,1264,316,0,0.7489451476793249
combined_mean__judge_only,2,11376,2844,1264,316,0,0.7218706047819972
combined_mean__judge_only,3,11376,2844,1264,316,0,0.729254571026723
combined_mean__judge_only,4,11385,2835,1265,315,0,0.7509700176366843
combined_mean__judge_only,5,11367,2853,1263,317,0,0.7192429022082019
combined_mean__full,1,11376,2844,1264,316,0,0.7489451476793249
combined_mean__full,2,11376,2844,1264,316,0,0.7218706047819972
combined_mean__full,3,11376,2844,1264,316,0,0.729254571026723
combined_mean__full,4,11385,2835,1265,315,0,0.7509700176366843
combined_mean__full,5,11367,2853,1263,317,0,0.7192429022082019
